Query 59: dictionary construction and accessing methods for fast retrieval of words or lexical items or morphologically related information hashing or indexing methods are usually applied to english spelling or natural language problems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.023
02  	  N  	  0.500  	  0.023
03  	  N  	  0.333  	  0.023
04  	  N  	  0.250  	  0.023
05  	  N  	  0.200  	  0.023
06  	  R  	  0.333  	  0.047
07  	  R  	  0.429  	  0.070
08  	  N  	  0.375  	  0.070
09  	  R  	  0.444  	  0.093
10  	  N  	  0.400  	  0.093
11  	  R  	  0.455  	  0.116
12  	  N  	  0.417  	  0.116
13  	  R  	  0.462  	  0.140
14  	  N  	  0.429  	  0.140
15  	  N  	  0.400  	  0.140
16  	  N  	  0.375  	  0.140
17  	  N  	  0.353  	  0.140
18  	  N  	  0.333  	  0.140
19  	  R  	  0.368  	  0.163
20  	  N  	  0.350  	  0.163
21  	  N  	  0.333  	  0.163
22  	  N  	  0.318  	  0.163
23  	  N  	  0.304  	  0.163
24  	  R  	  0.333  	  0.186
25  	  N  	  0.320  	  0.186
26  	  R  	  0.346  	  0.209
27  	  R  	  0.370  	  0.233
28  	  N  	  0.357  	  0.233
29  	  N  	  0.345  	  0.233
30  	  N  	  0.333  	  0.233
31  	  N  	  0.323  	  0.233
32  	  N  	  0.312  	  0.233
33  	  N  	  0.303  	  0.233
34  	  N  	  0.294  	  0.233
35  	  N  	  0.286  	  0.233
36  	  N  	  0.278  	  0.233
37  	  N  	  0.270  	  0.233
38  	  N  	  0.263  	  0.233
39  	  N  	  0.256  	  0.233
40  	  R  	  0.275  	  0.256
41  	  N  	  0.268  	  0.256
42  	  N  	  0.262  	  0.256
43  	  N  	  0.256  	  0.256
44  	  N  	  0.250  	  0.256
45  	  N  	  0.244  	  0.256
46  	  N  	  0.239  	  0.256
47  	  N  	  0.234  	  0.256
48  	  R  	  0.250  	  0.279
49  	  N  	  0.245  	  0.279
50  	  N  	  0.240  	  0.279
51  	  N  	  0.235  	  0.279
52  	  N  	  0.231  	  0.279
53  	  R  	  0.245  	  0.302
54  	  N  	  0.241  	  0.302
55  	  N  	  0.236  	  0.302
56  	  R  	  0.250  	  0.326
57  	  N  	  0.246  	  0.326
58  	  N  	  0.241  	  0.326
59  	  R  	  0.254  	  0.349
60  	  N  	  0.250  	  0.349
61  	  N  	  0.246  	  0.349
62  	  N  	  0.242  	  0.349
63  	  N  	  0.238  	  0.349
64  	  N  	  0.234  	  0.349
65  	  R  	  0.246  	  0.372
66  	  N  	  0.242  	  0.372
67  	  R  	  0.254  	  0.395
68  	  N  	  0.250  	  0.395
69  	  N  	  0.246  	  0.395
70  	  N  	  0.243  	  0.395
71  	  R  	  0.254  	  0.419
72  	  N  	  0.250  	  0.419
73  	  N  	  0.247  	  0.419
74  	  N  	  0.243  	  0.419
75  	  R  	  0.253  	  0.442
76  	  N  	  0.250  	  0.442
77  	  N  	  0.247  	  0.442
78  	  N  	  0.244  	  0.442
79  	  N  	  0.241  	  0.442
80  	  N  	  0.237  	  0.442
81  	  N  	  0.235  	  0.442
82  	  R  	  0.244  	  0.465
83  	  N  	  0.241  	  0.465
84  	  N  	  0.238  	  0.465
85  	  R  	  0.247  	  0.488
86  	  R  	  0.256  	  0.512
87  	  N  	  0.253  	  0.512
88  	  N  	  0.250  	  0.512
89  	  N  	  0.247  	  0.512
90  	  N  	  0.244  	  0.512
91  	  N  	  0.242  	  0.512
92  	  R  	  0.250  	  0.535
93  	  N  	  0.247  	  0.535
94  	  N  	  0.245  	  0.535
95  	  N  	  0.242  	  0.535
96  	  N  	  0.240  	  0.535
97  	  N  	  0.237  	  0.535
98  	  N  	  0.235  	  0.535
99  	  N  	  0.232  	  0.535
100  	  N  	  0.230  	  0.535
