Query 60: hardware and software relating to database management systems database packages back end computers special associative hardware with microcomputers attached to disk heads or things like rap relational or network codasyl or hierarchical models systems like system r ims adabas total etc

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  R  	  0.250  	  0.037
05  	  R  	  0.400  	  0.074
06  	  N  	  0.333  	  0.074
07  	  N  	  0.286  	  0.074
08  	  N  	  0.250  	  0.074
09  	  N  	  0.222  	  0.074
10  	  N  	  0.200  	  0.074
11  	  N  	  0.182  	  0.074
12  	  N  	  0.167  	  0.074
13  	  N  	  0.154  	  0.074
14  	  R  	  0.214  	  0.111
15  	  N  	  0.200  	  0.111
16  	  N  	  0.188  	  0.111
17  	  R  	  0.235  	  0.148
18  	  N  	  0.222  	  0.148
19  	  N  	  0.211  	  0.148
20  	  N  	  0.200  	  0.148
21  	  N  	  0.190  	  0.148
22  	  N  	  0.182  	  0.148
23  	  N  	  0.174  	  0.148
24  	  N  	  0.167  	  0.148
25  	  N  	  0.160  	  0.148
26  	  N  	  0.154  	  0.148
27  	  R  	  0.185  	  0.185
28  	  N  	  0.179  	  0.185
29  	  N  	  0.172  	  0.185
30  	  R  	  0.200  	  0.222
31  	  N  	  0.194  	  0.222
32  	  N  	  0.188  	  0.222
33  	  R  	  0.212  	  0.259
34  	  N  	  0.206  	  0.259
35  	  N  	  0.200  	  0.259
36  	  N  	  0.194  	  0.259
37  	  N  	  0.189  	  0.259
38  	  N  	  0.184  	  0.259
39  	  N  	  0.179  	  0.259
40  	  N  	  0.175  	  0.259
41  	  N  	  0.171  	  0.259
42  	  N  	  0.167  	  0.259
43  	  N  	  0.163  	  0.259
44  	  R  	  0.182  	  0.296
45  	  N  	  0.178  	  0.296
46  	  N  	  0.174  	  0.296
47  	  N  	  0.170  	  0.296
48  	  R  	  0.188  	  0.333
49  	  N  	  0.184  	  0.333
50  	  R  	  0.200  	  0.370
51  	  N  	  0.196  	  0.370
52  	  R  	  0.212  	  0.407
53  	  N  	  0.208  	  0.407
54  	  R  	  0.222  	  0.444
55  	  N  	  0.218  	  0.444
56  	  N  	  0.214  	  0.444
57  	  N  	  0.211  	  0.444
58  	  N  	  0.207  	  0.444
59  	  N  	  0.203  	  0.444
60  	  N  	  0.200  	  0.444
61  	  N  	  0.197  	  0.444
62  	  N  	  0.194  	  0.444
63  	  N  	  0.190  	  0.444
64  	  N  	  0.188  	  0.444
65  	  N  	  0.185  	  0.444
66  	  N  	  0.182  	  0.444
67  	  N  	  0.179  	  0.444
68  	  N  	  0.176  	  0.444
69  	  N  	  0.174  	  0.444
70  	  N  	  0.171  	  0.444
71  	  N  	  0.169  	  0.444
72  	  R  	  0.181  	  0.481
73  	  N  	  0.178  	  0.481
74  	  N  	  0.176  	  0.481
75  	  N  	  0.173  	  0.481
76  	  N  	  0.171  	  0.481
77  	  N  	  0.169  	  0.481
78  	  N  	  0.167  	  0.481
79  	  N  	  0.165  	  0.481
80  	  N  	  0.163  	  0.481
81  	  N  	  0.160  	  0.481
82  	  N  	  0.159  	  0.481
83  	  N  	  0.157  	  0.481
84  	  N  	  0.155  	  0.481
85  	  N  	  0.153  	  0.481
86  	  R  	  0.163  	  0.519
87  	  N  	  0.161  	  0.519
88  	  N  	  0.159  	  0.519
89  	  N  	  0.157  	  0.519
90  	  N  	  0.156  	  0.519
91  	  N  	  0.154  	  0.519
92  	  N  	  0.152  	  0.519
93  	  N  	  0.151  	  0.519
94  	  N  	  0.149  	  0.519
95  	  N  	  0.147  	  0.519
96  	  N  	  0.146  	  0.519
97  	  N  	  0.144  	  0.519
98  	  N  	  0.143  	  0.519
99  	  N  	  0.141  	  0.519
100  	  N  	  0.140  	  0.519
