Query 7: i am interested in distributed algorithms concurrent programs in which processes communicate and synchronize by using message passing areas of particular interest include fault tolerance and techniques for understanding the correctness of these algorithms

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.036
02  	  R  	  1.000  	  0.071
03  	  N  	  0.667  	  0.071
04  	  R  	  0.750  	  0.107
05  	  R  	  0.800  	  0.143
06  	  R  	  0.833  	  0.179
07  	  N  	  0.714  	  0.179
08  	  N  	  0.625  	  0.179
09  	  R  	  0.667  	  0.214
10  	  N  	  0.600  	  0.214
11  	  R  	  0.636  	  0.250
12  	  N  	  0.583  	  0.250
13  	  R  	  0.615  	  0.286
14  	  N  	  0.571  	  0.286
15  	  N  	  0.533  	  0.286
16  	  N  	  0.500  	  0.286
17  	  N  	  0.471  	  0.286
18  	  N  	  0.444  	  0.286
19  	  N  	  0.421  	  0.286
20  	  N  	  0.400  	  0.286
21  	  R  	  0.429  	  0.321
22  	  N  	  0.409  	  0.321
23  	  N  	  0.391  	  0.321
24  	  N  	  0.375  	  0.321
25  	  N  	  0.360  	  0.321
26  	  N  	  0.346  	  0.321
27  	  N  	  0.333  	  0.321
28  	  N  	  0.321  	  0.321
29  	  N  	  0.310  	  0.321
30  	  N  	  0.300  	  0.321
31  	  N  	  0.290  	  0.321
32  	  N  	  0.281  	  0.321
33  	  N  	  0.273  	  0.321
34  	  N  	  0.265  	  0.321
35  	  N  	  0.257  	  0.321
36  	  N  	  0.250  	  0.321
37  	  N  	  0.243  	  0.321
38  	  N  	  0.237  	  0.321
39  	  N  	  0.231  	  0.321
40  	  N  	  0.225  	  0.321
41  	  N  	  0.220  	  0.321
42  	  N  	  0.214  	  0.321
43  	  N  	  0.209  	  0.321
44  	  N  	  0.205  	  0.321
45  	  R  	  0.222  	  0.357
46  	  N  	  0.217  	  0.357
47  	  N  	  0.213  	  0.357
48  	  N  	  0.208  	  0.357
49  	  N  	  0.204  	  0.357
50  	  N  	  0.200  	  0.357
51  	  N  	  0.196  	  0.357
52  	  N  	  0.192  	  0.357
53  	  N  	  0.189  	  0.357
54  	  N  	  0.185  	  0.357
55  	  R  	  0.200  	  0.393
56  	  N  	  0.196  	  0.393
57  	  N  	  0.193  	  0.393
58  	  N  	  0.190  	  0.393
59  	  N  	  0.186  	  0.393
60  	  N  	  0.183  	  0.393
61  	  N  	  0.180  	  0.393
62  	  N  	  0.177  	  0.393
63  	  N  	  0.175  	  0.393
64  	  N  	  0.172  	  0.393
65  	  N  	  0.169  	  0.393
66  	  N  	  0.167  	  0.393
67  	  N  	  0.164  	  0.393
68  	  N  	  0.162  	  0.393
69  	  N  	  0.159  	  0.393
70  	  N  	  0.157  	  0.393
71  	  N  	  0.155  	  0.393
72  	  N  	  0.153  	  0.393
73  	  N  	  0.151  	  0.393
74  	  N  	  0.149  	  0.393
75  	  N  	  0.147  	  0.393
76  	  N  	  0.145  	  0.393
77  	  N  	  0.143  	  0.393
78  	  N  	  0.141  	  0.393
79  	  N  	  0.139  	  0.393
80  	  N  	  0.138  	  0.393
81  	  N  	  0.136  	  0.393
82  	  N  	  0.134  	  0.393
83  	  N  	  0.133  	  0.393
84  	  N  	  0.131  	  0.393
85  	  N  	  0.129  	  0.393
86  	  N  	  0.128  	  0.393
87  	  N  	  0.126  	  0.393
88  	  N  	  0.125  	  0.393
89  	  N  	  0.124  	  0.393
90  	  N  	  0.122  	  0.393
91  	  N  	  0.121  	  0.393
92  	  N  	  0.120  	  0.393
93  	  N  	  0.118  	  0.393
94  	  N  	  0.117  	  0.393
95  	  N  	  0.116  	  0.393
96  	  N  	  0.115  	  0.393
97  	  N  	  0.113  	  0.393
98  	  N  	  0.112  	  0.393
99  	  N  	  0.111  	  0.393
100  	  N  	  0.110  	  0.393
