Query 9: security considerations in local networks network operating systems and distributed systems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  R  	  0.333  	  0.111
04  	  N  	  0.250  	  0.111
05  	  R  	  0.400  	  0.222
06  	  N  	  0.333  	  0.222
07  	  N  	  0.286  	  0.222
08  	  N  	  0.250  	  0.222
09  	  N  	  0.222  	  0.222
10  	  N  	  0.200  	  0.222
11  	  R  	  0.273  	  0.333
12  	  N  	  0.250  	  0.333
13  	  N  	  0.231  	  0.333
14  	  N  	  0.214  	  0.333
15  	  N  	  0.200  	  0.333
16  	  R  	  0.250  	  0.444
17  	  N  	  0.235  	  0.444
18  	  N  	  0.222  	  0.444
19  	  N  	  0.211  	  0.444
20  	  N  	  0.200  	  0.444
21  	  N  	  0.190  	  0.444
22  	  N  	  0.182  	  0.444
23  	  N  	  0.174  	  0.444
24  	  N  	  0.167  	  0.444
25  	  N  	  0.160  	  0.444
26  	  N  	  0.154  	  0.444
27  	  N  	  0.148  	  0.444
28  	  N  	  0.143  	  0.444
29  	  N  	  0.138  	  0.444
30  	  R  	  0.167  	  0.556
31  	  N  	  0.161  	  0.556
32  	  N  	  0.156  	  0.556
33  	  N  	  0.152  	  0.556
34  	  N  	  0.147  	  0.556
35  	  N  	  0.143  	  0.556
36  	  N  	  0.139  	  0.556
37  	  N  	  0.135  	  0.556
38  	  R  	  0.158  	  0.667
39  	  N  	  0.154  	  0.667
40  	  N  	  0.150  	  0.667
41  	  N  	  0.146  	  0.667
42  	  N  	  0.143  	  0.667
43  	  N  	  0.140  	  0.667
44  	  N  	  0.136  	  0.667
45  	  N  	  0.133  	  0.667
46  	  N  	  0.130  	  0.667
47  	  N  	  0.128  	  0.667
48  	  N  	  0.125  	  0.667
49  	  N  	  0.122  	  0.667
50  	  N  	  0.120  	  0.667
51  	  N  	  0.118  	  0.667
52  	  N  	  0.115  	  0.667
53  	  N  	  0.113  	  0.667
54  	  N  	  0.111  	  0.667
55  	  N  	  0.109  	  0.667
56  	  N  	  0.107  	  0.667
57  	  N  	  0.105  	  0.667
58  	  N  	  0.103  	  0.667
59  	  N  	  0.102  	  0.667
60  	  N  	  0.100  	  0.667
61  	  N  	  0.098  	  0.667
62  	  N  	  0.097  	  0.667
63  	  N  	  0.095  	  0.667
64  	  N  	  0.094  	  0.667
65  	  N  	  0.092  	  0.667
66  	  N  	  0.091  	  0.667
67  	  N  	  0.090  	  0.667
68  	  N  	  0.088  	  0.667
69  	  N  	  0.087  	  0.667
70  	  N  	  0.086  	  0.667
71  	  N  	  0.085  	  0.667
72  	  R  	  0.097  	  0.778
73  	  N  	  0.096  	  0.778
74  	  N  	  0.095  	  0.778
75  	  N  	  0.093  	  0.778
76  	  R  	  0.105  	  0.889
77  	  N  	  0.104  	  0.889
78  	  N  	  0.103  	  0.889
79  	  N  	  0.101  	  0.889
80  	  N  	  0.100  	  0.889
81  	  N  	  0.099  	  0.889
82  	  N  	  0.098  	  0.889
83  	  N  	  0.096  	  0.889
84  	  N  	  0.095  	  0.889
85  	  N  	  0.094  	  0.889
86  	  N  	  0.093  	  0.889
87  	  N  	  0.092  	  0.889
88  	  N  	  0.091  	  0.889
89  	  R  	  0.101  	  1.000
90  	  N  	  0.100  	  1.000
91  	  N  	  0.099  	  1.000
92  	  N  	  0.098  	  1.000
93  	  N  	  0.097  	  1.000
94  	  N  	  0.096  	  1.000
95  	  N  	  0.095  	  1.000
96  	  N  	  0.094  	  1.000
97  	  N  	  0.093  	  1.000
98  	  N  	  0.092  	  1.000
99  	  N  	  0.091  	  1.000
100  	  N  	  0.090  	  1.000
