Query 13: code optimization for space efficiency

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  R  	  0.333  	  0.091
04  	  N  	  0.250  	  0.091
05  	  R  	  0.400  	  0.182
06  	  R  	  0.500  	  0.273
07  	  N  	  0.429  	  0.273
08  	  N  	  0.375  	  0.273
09  	  R  	  0.444  	  0.364
10  	  N  	  0.400  	  0.364
11  	  R  	  0.455  	  0.455
12  	  N  	  0.417  	  0.455
13  	  N  	  0.385  	  0.455
14  	  N  	  0.357  	  0.455
15  	  N  	  0.333  	  0.455
16  	  N  	  0.312  	  0.455
17  	  N  	  0.294  	  0.455
18  	  N  	  0.278  	  0.455
19  	  N  	  0.263  	  0.455
20  	  N  	  0.250  	  0.455
21  	  N  	  0.238  	  0.455
22  	  N  	  0.227  	  0.455
23  	  N  	  0.217  	  0.455
24  	  N  	  0.208  	  0.455
25  	  N  	  0.200  	  0.455
26  	  N  	  0.192  	  0.455
27  	  N  	  0.185  	  0.455
28  	  N  	  0.179  	  0.455
29  	  N  	  0.172  	  0.455
30  	  N  	  0.167  	  0.455
31  	  N  	  0.161  	  0.455
32  	  N  	  0.156  	  0.455
33  	  N  	  0.152  	  0.455
34  	  N  	  0.147  	  0.455
35  	  N  	  0.143  	  0.455
36  	  N  	  0.139  	  0.455
37  	  N  	  0.135  	  0.455
38  	  N  	  0.132  	  0.455
39  	  N  	  0.128  	  0.455
40  	  N  	  0.125  	  0.455
41  	  N  	  0.122  	  0.455
42  	  N  	  0.119  	  0.455
43  	  N  	  0.116  	  0.455
44  	  N  	  0.114  	  0.455
45  	  N  	  0.111  	  0.455
46  	  N  	  0.109  	  0.455
47  	  N  	  0.106  	  0.455
48  	  N  	  0.104  	  0.455
49  	  N  	  0.102  	  0.455
50  	  N  	  0.100  	  0.455
51  	  N  	  0.098  	  0.455
52  	  N  	  0.096  	  0.455
53  	  N  	  0.094  	  0.455
54  	  N  	  0.093  	  0.455
55  	  N  	  0.091  	  0.455
56  	  N  	  0.089  	  0.455
57  	  N  	  0.088  	  0.455
58  	  N  	  0.086  	  0.455
59  	  N  	  0.085  	  0.455
60  	  N  	  0.083  	  0.455
61  	  N  	  0.082  	  0.455
62  	  N  	  0.081  	  0.455
63  	  N  	  0.079  	  0.455
64  	  N  	  0.078  	  0.455
65  	  N  	  0.077  	  0.455
66  	  R  	  0.091  	  0.545
67  	  N  	  0.090  	  0.545
68  	  N  	  0.088  	  0.545
69  	  N  	  0.087  	  0.545
70  	  N  	  0.086  	  0.545
71  	  N  	  0.085  	  0.545
72  	  N  	  0.083  	  0.545
73  	  N  	  0.082  	  0.545
74  	  N  	  0.081  	  0.545
75  	  N  	  0.080  	  0.545
76  	  N  	  0.079  	  0.545
77  	  N  	  0.078  	  0.545
78  	  N  	  0.077  	  0.545
79  	  N  	  0.076  	  0.545
80  	  N  	  0.075  	  0.545
81  	  N  	  0.074  	  0.545
82  	  N  	  0.073  	  0.545
83  	  N  	  0.072  	  0.545
84  	  N  	  0.071  	  0.545
85  	  N  	  0.071  	  0.545
86  	  N  	  0.070  	  0.545
87  	  N  	  0.069  	  0.545
88  	  N  	  0.068  	  0.545
89  	  N  	  0.067  	  0.545
90  	  N  	  0.067  	  0.545
91  	  R  	  0.077  	  0.636
92  	  N  	  0.076  	  0.636
93  	  N  	  0.075  	  0.636
94  	  N  	  0.074  	  0.636
95  	  N  	  0.074  	  0.636
96  	  N  	  0.073  	  0.636
97  	  N  	  0.072  	  0.636
98  	  N  	  0.071  	  0.636
99  	  N  	  0.071  	  0.636
100  	  N  	  0.070  	  0.636
