Query 14: find all discussions of optimal implementations of sort algorithms for database management applications

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.023
02  	  R  	  1.000  	  0.045
03  	  N  	  0.667  	  0.045
04  	  N  	  0.500  	  0.045
05  	  N  	  0.400  	  0.045
06  	  N  	  0.333  	  0.045
07  	  N  	  0.286  	  0.045
08  	  N  	  0.250  	  0.045
09  	  N  	  0.222  	  0.045
10  	  N  	  0.200  	  0.045
11  	  N  	  0.182  	  0.045
12  	  N  	  0.167  	  0.045
13  	  N  	  0.154  	  0.045
14  	  N  	  0.143  	  0.045
15  	  N  	  0.133  	  0.045
16  	  N  	  0.125  	  0.045
17  	  N  	  0.118  	  0.045
18  	  N  	  0.111  	  0.045
19  	  R  	  0.158  	  0.068
20  	  N  	  0.150  	  0.068
21  	  N  	  0.143  	  0.068
22  	  R  	  0.182  	  0.091
23  	  N  	  0.174  	  0.091
24  	  R  	  0.208  	  0.114
25  	  N  	  0.200  	  0.114
26  	  R  	  0.231  	  0.136
27  	  N  	  0.222  	  0.136
28  	  N  	  0.214  	  0.136
29  	  N  	  0.207  	  0.136
30  	  N  	  0.200  	  0.136
31  	  N  	  0.194  	  0.136
32  	  N  	  0.188  	  0.136
33  	  R  	  0.212  	  0.159
34  	  N  	  0.206  	  0.159
35  	  N  	  0.200  	  0.159
36  	  N  	  0.194  	  0.159
37  	  N  	  0.189  	  0.159
38  	  N  	  0.184  	  0.159
39  	  R  	  0.205  	  0.182
40  	  N  	  0.200  	  0.182
41  	  N  	  0.195  	  0.182
42  	  N  	  0.190  	  0.182
43  	  N  	  0.186  	  0.182
44  	  N  	  0.182  	  0.182
45  	  N  	  0.178  	  0.182
46  	  N  	  0.174  	  0.182
47  	  N  	  0.170  	  0.182
48  	  N  	  0.167  	  0.182
49  	  N  	  0.163  	  0.182
50  	  N  	  0.160  	  0.182
51  	  N  	  0.157  	  0.182
52  	  N  	  0.154  	  0.182
53  	  N  	  0.151  	  0.182
54  	  N  	  0.148  	  0.182
55  	  N  	  0.145  	  0.182
56  	  N  	  0.143  	  0.182
57  	  N  	  0.140  	  0.182
58  	  N  	  0.138  	  0.182
59  	  N  	  0.136  	  0.182
60  	  N  	  0.133  	  0.182
61  	  N  	  0.131  	  0.182
62  	  N  	  0.129  	  0.182
63  	  N  	  0.127  	  0.182
64  	  N  	  0.125  	  0.182
65  	  N  	  0.123  	  0.182
66  	  N  	  0.121  	  0.182
67  	  N  	  0.119  	  0.182
68  	  N  	  0.118  	  0.182
69  	  N  	  0.116  	  0.182
70  	  N  	  0.114  	  0.182
71  	  N  	  0.113  	  0.182
72  	  R  	  0.125  	  0.205
73  	  N  	  0.123  	  0.205
74  	  N  	  0.122  	  0.205
75  	  N  	  0.120  	  0.205
76  	  N  	  0.118  	  0.205
77  	  N  	  0.117  	  0.205
78  	  N  	  0.115  	  0.205
79  	  N  	  0.114  	  0.205
80  	  N  	  0.113  	  0.205
81  	  N  	  0.111  	  0.205
82  	  N  	  0.110  	  0.205
83  	  N  	  0.108  	  0.205
84  	  N  	  0.107  	  0.205
85  	  N  	  0.106  	  0.205
86  	  N  	  0.105  	  0.205
87  	  N  	  0.103  	  0.205
88  	  N  	  0.102  	  0.205
89  	  N  	  0.101  	  0.205
90  	  N  	  0.100  	  0.205
91  	  N  	  0.099  	  0.205
92  	  N  	  0.098  	  0.205
93  	  N  	  0.097  	  0.205
94  	  N  	  0.096  	  0.205
95  	  N  	  0.095  	  0.205
96  	  N  	  0.094  	  0.205
97  	  N  	  0.093  	  0.205
98  	  N  	  0.092  	  0.205
99  	  N  	  0.091  	  0.205
100  	  N  	  0.090  	  0.205
