Query 15: find all discussions of horizontal microcode optimization with special emphasis on optimization of loops and global optimization

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  R  	  0.250  	  0.100
05  	  N  	  0.200  	  0.100
06  	  N  	  0.167  	  0.100
07  	  N  	  0.143  	  0.100
08  	  N  	  0.125  	  0.100
09  	  N  	  0.111  	  0.100
10  	  N  	  0.100  	  0.100
11  	  N  	  0.091  	  0.100
12  	  N  	  0.083  	  0.100
13  	  N  	  0.077  	  0.100
14  	  N  	  0.071  	  0.100
15  	  N  	  0.067  	  0.100
16  	  N  	  0.062  	  0.100
17  	  R  	  0.118  	  0.200
18  	  R  	  0.167  	  0.300
19  	  N  	  0.158  	  0.300
20  	  N  	  0.150  	  0.300
21  	  N  	  0.143  	  0.300
22  	  N  	  0.136  	  0.300
23  	  N  	  0.130  	  0.300
24  	  N  	  0.125  	  0.300
25  	  R  	  0.160  	  0.400
26  	  N  	  0.154  	  0.400
27  	  N  	  0.148  	  0.400
28  	  N  	  0.143  	  0.400
29  	  N  	  0.138  	  0.400
30  	  N  	  0.133  	  0.400
31  	  N  	  0.129  	  0.400
32  	  N  	  0.125  	  0.400
33  	  N  	  0.121  	  0.400
34  	  N  	  0.118  	  0.400
35  	  N  	  0.114  	  0.400
36  	  N  	  0.111  	  0.400
37  	  N  	  0.108  	  0.400
38  	  N  	  0.105  	  0.400
39  	  N  	  0.103  	  0.400
40  	  N  	  0.100  	  0.400
41  	  N  	  0.098  	  0.400
42  	  N  	  0.095  	  0.400
43  	  N  	  0.093  	  0.400
44  	  N  	  0.091  	  0.400
45  	  N  	  0.089  	  0.400
46  	  N  	  0.087  	  0.400
47  	  N  	  0.085  	  0.400
48  	  N  	  0.083  	  0.400
49  	  N  	  0.082  	  0.400
50  	  N  	  0.080  	  0.400
51  	  N  	  0.078  	  0.400
52  	  N  	  0.077  	  0.400
53  	  N  	  0.075  	  0.400
54  	  N  	  0.074  	  0.400
55  	  N  	  0.073  	  0.400
56  	  N  	  0.071  	  0.400
57  	  N  	  0.070  	  0.400
58  	  N  	  0.069  	  0.400
59  	  N  	  0.068  	  0.400
60  	  N  	  0.067  	  0.400
61  	  R  	  0.082  	  0.500
62  	  N  	  0.081  	  0.500
63  	  N  	  0.079  	  0.500
64  	  N  	  0.078  	  0.500
65  	  N  	  0.077  	  0.500
66  	  N  	  0.076  	  0.500
67  	  N  	  0.075  	  0.500
68  	  N  	  0.074  	  0.500
69  	  N  	  0.072  	  0.500
70  	  N  	  0.071  	  0.500
71  	  N  	  0.070  	  0.500
72  	  N  	  0.069  	  0.500
73  	  N  	  0.068  	  0.500
74  	  N  	  0.068  	  0.500
75  	  N  	  0.067  	  0.500
76  	  N  	  0.066  	  0.500
77  	  N  	  0.065  	  0.500
78  	  N  	  0.064  	  0.500
79  	  N  	  0.063  	  0.500
80  	  N  	  0.062  	  0.500
81  	  N  	  0.062  	  0.500
82  	  N  	  0.061  	  0.500
83  	  N  	  0.060  	  0.500
84  	  N  	  0.060  	  0.500
85  	  N  	  0.059  	  0.500
86  	  N  	  0.058  	  0.500
87  	  N  	  0.057  	  0.500
88  	  N  	  0.057  	  0.500
89  	  N  	  0.056  	  0.500
90  	  N  	  0.056  	  0.500
91  	  N  	  0.055  	  0.500
92  	  N  	  0.054  	  0.500
93  	  N  	  0.054  	  0.500
94  	  N  	  0.053  	  0.500
95  	  R  	  0.063  	  0.600
96  	  N  	  0.062  	  0.600
97  	  N  	  0.062  	  0.600
98  	  N  	  0.061  	  0.600
99  	  N  	  0.061  	  0.600
100  	  N  	  0.060  	  0.600
