Query 2: i am interested in articles written either by prieve or udo pooch prieve b pooch u

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  N  	  0.000  	  0.000
12  	  N  	  0.000  	  0.000
13  	  N  	  0.000  	  0.000
14  	  N  	  0.000  	  0.000
15  	  N  	  0.000  	  0.000
16  	  N  	  0.000  	  0.000
17  	  N  	  0.000  	  0.000
18  	  N  	  0.000  	  0.000
19  	  N  	  0.000  	  0.000
20  	  N  	  0.000  	  0.000
21  	  R  	  0.048  	  0.333
22  	  N  	  0.045  	  0.333
23  	  N  	  0.043  	  0.333
24  	  N  	  0.042  	  0.333
25  	  N  	  0.040  	  0.333
26  	  N  	  0.038  	  0.333
27  	  N  	  0.037  	  0.333
28  	  N  	  0.036  	  0.333
29  	  N  	  0.034  	  0.333
30  	  N  	  0.033  	  0.333
31  	  N  	  0.032  	  0.333
32  	  N  	  0.031  	  0.333
33  	  N  	  0.030  	  0.333
34  	  N  	  0.029  	  0.333
35  	  N  	  0.029  	  0.333
36  	  N  	  0.028  	  0.333
37  	  N  	  0.027  	  0.333
38  	  N  	  0.026  	  0.333
39  	  N  	  0.026  	  0.333
40  	  N  	  0.025  	  0.333
41  	  N  	  0.024  	  0.333
42  	  N  	  0.024  	  0.333
43  	  N  	  0.023  	  0.333
44  	  N  	  0.023  	  0.333
45  	  N  	  0.022  	  0.333
46  	  N  	  0.022  	  0.333
47  	  N  	  0.021  	  0.333
48  	  N  	  0.021  	  0.333
49  	  N  	  0.020  	  0.333
50  	  N  	  0.020  	  0.333
51  	  N  	  0.020  	  0.333
52  	  R  	  0.038  	  0.667
53  	  N  	  0.038  	  0.667
54  	  N  	  0.037  	  0.667
55  	  N  	  0.036  	  0.667
56  	  N  	  0.036  	  0.667
57  	  N  	  0.035  	  0.667
58  	  N  	  0.034  	  0.667
59  	  N  	  0.034  	  0.667
60  	  R  	  0.050  	  1.000
61  	  N  	  0.049  	  1.000
62  	  N  	  0.048  	  1.000
63  	  N  	  0.048  	  1.000
64  	  N  	  0.047  	  1.000
65  	  N  	  0.046  	  1.000
66  	  N  	  0.045  	  1.000
67  	  N  	  0.045  	  1.000
68  	  N  	  0.044  	  1.000
69  	  N  	  0.043  	  1.000
70  	  N  	  0.043  	  1.000
71  	  N  	  0.042  	  1.000
72  	  N  	  0.042  	  1.000
73  	  N  	  0.041  	  1.000
74  	  N  	  0.041  	  1.000
75  	  N  	  0.040  	  1.000
76  	  N  	  0.039  	  1.000
77  	  N  	  0.039  	  1.000
78  	  N  	  0.038  	  1.000
79  	  N  	  0.038  	  1.000
80  	  N  	  0.037  	  1.000
81  	  N  	  0.037  	  1.000
82  	  N  	  0.037  	  1.000
83  	  N  	  0.036  	  1.000
84  	  N  	  0.036  	  1.000
85  	  N  	  0.035  	  1.000
86  	  N  	  0.035  	  1.000
87  	  N  	  0.034  	  1.000
88  	  N  	  0.034  	  1.000
89  	  N  	  0.034  	  1.000
90  	  N  	  0.033  	  1.000
