Query 20: graph theoretic algorithms applicable to sparse matrices

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  R  	  0.200  	  0.333
06  	  N  	  0.167  	  0.333
07  	  N  	  0.143  	  0.333
08  	  N  	  0.125  	  0.333
09  	  N  	  0.111  	  0.333
10  	  N  	  0.100  	  0.333
11  	  N  	  0.091  	  0.333
12  	  N  	  0.083  	  0.333
13  	  N  	  0.077  	  0.333
14  	  N  	  0.071  	  0.333
15  	  N  	  0.067  	  0.333
16  	  N  	  0.062  	  0.333
17  	  N  	  0.059  	  0.333
18  	  N  	  0.056  	  0.333
19  	  N  	  0.053  	  0.333
20  	  N  	  0.050  	  0.333
21  	  N  	  0.048  	  0.333
22  	  N  	  0.045  	  0.333
23  	  N  	  0.043  	  0.333
24  	  N  	  0.042  	  0.333
25  	  N  	  0.040  	  0.333
26  	  N  	  0.038  	  0.333
27  	  N  	  0.037  	  0.333
28  	  N  	  0.036  	  0.333
29  	  N  	  0.034  	  0.333
30  	  N  	  0.033  	  0.333
31  	  N  	  0.032  	  0.333
32  	  N  	  0.031  	  0.333
33  	  N  	  0.030  	  0.333
34  	  N  	  0.029  	  0.333
35  	  N  	  0.029  	  0.333
36  	  N  	  0.028  	  0.333
37  	  N  	  0.027  	  0.333
38  	  N  	  0.026  	  0.333
39  	  N  	  0.026  	  0.333
40  	  N  	  0.025  	  0.333
41  	  R  	  0.049  	  0.667
42  	  N  	  0.048  	  0.667
43  	  N  	  0.047  	  0.667
44  	  N  	  0.045  	  0.667
45  	  N  	  0.044  	  0.667
46  	  N  	  0.043  	  0.667
47  	  N  	  0.043  	  0.667
48  	  N  	  0.042  	  0.667
49  	  N  	  0.041  	  0.667
50  	  N  	  0.040  	  0.667
51  	  N  	  0.039  	  0.667
52  	  N  	  0.038  	  0.667
53  	  N  	  0.038  	  0.667
54  	  N  	  0.037  	  0.667
55  	  N  	  0.036  	  0.667
56  	  N  	  0.036  	  0.667
57  	  N  	  0.035  	  0.667
58  	  N  	  0.034  	  0.667
59  	  N  	  0.034  	  0.667
60  	  N  	  0.033  	  0.667
61  	  N  	  0.033  	  0.667
62  	  N  	  0.032  	  0.667
63  	  N  	  0.032  	  0.667
64  	  R  	  0.047  	  1.000
65  	  N  	  0.046  	  1.000
66  	  N  	  0.045  	  1.000
67  	  N  	  0.045  	  1.000
68  	  N  	  0.044  	  1.000
69  	  N  	  0.043  	  1.000
70  	  N  	  0.043  	  1.000
71  	  N  	  0.042  	  1.000
72  	  N  	  0.042  	  1.000
73  	  N  	  0.041  	  1.000
74  	  N  	  0.041  	  1.000
75  	  N  	  0.040  	  1.000
76  	  N  	  0.039  	  1.000
77  	  N  	  0.039  	  1.000
78  	  N  	  0.038  	  1.000
79  	  N  	  0.038  	  1.000
80  	  N  	  0.037  	  1.000
81  	  N  	  0.037  	  1.000
82  	  N  	  0.037  	  1.000
83  	  N  	  0.036  	  1.000
84  	  N  	  0.036  	  1.000
85  	  N  	  0.035  	  1.000
86  	  N  	  0.035  	  1.000
87  	  N  	  0.034  	  1.000
88  	  N  	  0.034  	  1.000
89  	  N  	  0.034  	  1.000
90  	  N  	  0.033  	  1.000
91  	  N  	  0.033  	  1.000
92  	  N  	  0.033  	  1.000
93  	  N  	  0.032  	  1.000
94  	  N  	  0.032  	  1.000
95  	  N  	  0.032  	  1.000
96  	  N  	  0.031  	  1.000
97  	  N  	  0.031  	  1.000
98  	  N  	  0.031  	  1.000
99  	  N  	  0.030  	  1.000
100  	  N  	  0.030  	  1.000
