Query 22: i am interested in hidden line and hidden surface algorithms for cylinders toroids spheres and cones this is a rather specialized topic in computer graphics

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.059
02  	  R  	  1.000  	  0.118
03  	  R  	  1.000  	  0.176
04  	  R  	  1.000  	  0.235
05  	  N  	  0.800  	  0.235
06  	  R  	  0.833  	  0.294
07  	  R  	  0.857  	  0.353
08  	  R  	  0.875  	  0.412
09  	  R  	  0.889  	  0.471
10  	  N  	  0.800  	  0.471
11  	  N  	  0.727  	  0.471
12  	  N  	  0.667  	  0.471
13  	  N  	  0.615  	  0.471
14  	  N  	  0.571  	  0.471
15  	  R  	  0.600  	  0.529
16  	  N  	  0.562  	  0.529
17  	  N  	  0.529  	  0.529
18  	  N  	  0.500  	  0.529
19  	  N  	  0.474  	  0.529
20  	  R  	  0.500  	  0.588
21  	  N  	  0.476  	  0.588
22  	  N  	  0.455  	  0.588
23  	  N  	  0.435  	  0.588
24  	  N  	  0.417  	  0.588
25  	  N  	  0.400  	  0.588
26  	  N  	  0.385  	  0.588
27  	  N  	  0.370  	  0.588
28  	  N  	  0.357  	  0.588
29  	  N  	  0.345  	  0.588
30  	  N  	  0.333  	  0.588
31  	  N  	  0.323  	  0.588
32  	  N  	  0.312  	  0.588
33  	  N  	  0.303  	  0.588
34  	  N  	  0.294  	  0.588
35  	  N  	  0.286  	  0.588
36  	  N  	  0.278  	  0.588
37  	  N  	  0.270  	  0.588
38  	  N  	  0.263  	  0.588
39  	  N  	  0.256  	  0.588
40  	  N  	  0.250  	  0.588
41  	  N  	  0.244  	  0.588
42  	  N  	  0.238  	  0.588
43  	  N  	  0.233  	  0.588
44  	  N  	  0.227  	  0.588
45  	  N  	  0.222  	  0.588
46  	  N  	  0.217  	  0.588
47  	  N  	  0.213  	  0.588
48  	  N  	  0.208  	  0.588
49  	  R  	  0.224  	  0.647
50  	  N  	  0.220  	  0.647
51  	  N  	  0.216  	  0.647
52  	  N  	  0.212  	  0.647
53  	  N  	  0.208  	  0.647
54  	  N  	  0.204  	  0.647
55  	  N  	  0.200  	  0.647
56  	  N  	  0.196  	  0.647
57  	  N  	  0.193  	  0.647
58  	  N  	  0.190  	  0.647
59  	  N  	  0.186  	  0.647
60  	  N  	  0.183  	  0.647
61  	  N  	  0.180  	  0.647
62  	  N  	  0.177  	  0.647
63  	  N  	  0.175  	  0.647
64  	  N  	  0.172  	  0.647
65  	  N  	  0.169  	  0.647
66  	  N  	  0.167  	  0.647
67  	  N  	  0.164  	  0.647
68  	  R  	  0.176  	  0.706
69  	  N  	  0.174  	  0.706
70  	  N  	  0.171  	  0.706
71  	  N  	  0.169  	  0.706
72  	  N  	  0.167  	  0.706
73  	  N  	  0.164  	  0.706
74  	  N  	  0.162  	  0.706
75  	  N  	  0.160  	  0.706
76  	  N  	  0.158  	  0.706
77  	  N  	  0.156  	  0.706
78  	  N  	  0.154  	  0.706
79  	  N  	  0.152  	  0.706
80  	  N  	  0.150  	  0.706
81  	  N  	  0.148  	  0.706
82  	  N  	  0.146  	  0.706
83  	  N  	  0.145  	  0.706
84  	  N  	  0.143  	  0.706
85  	  N  	  0.141  	  0.706
86  	  N  	  0.140  	  0.706
87  	  N  	  0.138  	  0.706
88  	  N  	  0.136  	  0.706
89  	  N  	  0.135  	  0.706
90  	  N  	  0.133  	  0.706
91  	  N  	  0.132  	  0.706
92  	  N  	  0.130  	  0.706
93  	  N  	  0.129  	  0.706
94  	  N  	  0.128  	  0.706
95  	  N  	  0.126  	  0.706
96  	  N  	  0.125  	  0.706
97  	  N  	  0.124  	  0.706
98  	  N  	  0.122  	  0.706
99  	  N  	  0.121  	  0.706
100  	  N  	  0.120  	  0.706
