Query 25: performance evaluation and modelling of computer systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.020
02  	  N  	  0.500  	  0.020
03  	  N  	  0.333  	  0.020
04  	  N  	  0.250  	  0.020
05  	  N  	  0.200  	  0.020
06  	  N  	  0.167  	  0.020
07  	  R  	  0.286  	  0.039
08  	  N  	  0.250  	  0.039
09  	  R  	  0.333  	  0.059
10  	  N  	  0.300  	  0.059
11  	  N  	  0.273  	  0.059
12  	  N  	  0.250  	  0.059
13  	  R  	  0.308  	  0.078
14  	  N  	  0.286  	  0.078
15  	  R  	  0.333  	  0.098
16  	  N  	  0.312  	  0.098
17  	  N  	  0.294  	  0.098
18  	  N  	  0.278  	  0.098
19  	  N  	  0.263  	  0.098
20  	  N  	  0.250  	  0.098
21  	  N  	  0.238  	  0.098
22  	  N  	  0.227  	  0.098
23  	  R  	  0.261  	  0.118
24  	  N  	  0.250  	  0.118
25  	  N  	  0.240  	  0.118
26  	  N  	  0.231  	  0.118
27  	  N  	  0.222  	  0.118
28  	  N  	  0.214  	  0.118
29  	  N  	  0.207  	  0.118
30  	  N  	  0.200  	  0.118
31  	  N  	  0.194  	  0.118
32  	  N  	  0.188  	  0.118
33  	  N  	  0.182  	  0.118
34  	  N  	  0.176  	  0.118
35  	  R  	  0.200  	  0.137
36  	  N  	  0.194  	  0.137
37  	  N  	  0.189  	  0.137
38  	  N  	  0.184  	  0.137
39  	  R  	  0.205  	  0.157
40  	  R  	  0.225  	  0.176
41  	  N  	  0.220  	  0.176
42  	  N  	  0.214  	  0.176
43  	  N  	  0.209  	  0.176
44  	  N  	  0.205  	  0.176
45  	  N  	  0.200  	  0.176
46  	  N  	  0.196  	  0.176
47  	  N  	  0.191  	  0.176
48  	  N  	  0.188  	  0.176
49  	  N  	  0.184  	  0.176
50  	  N  	  0.180  	  0.176
51  	  N  	  0.176  	  0.176
52  	  N  	  0.173  	  0.176
53  	  N  	  0.170  	  0.176
54  	  N  	  0.167  	  0.176
55  	  N  	  0.164  	  0.176
56  	  N  	  0.161  	  0.176
57  	  N  	  0.158  	  0.176
58  	  N  	  0.155  	  0.176
59  	  N  	  0.153  	  0.176
60  	  N  	  0.150  	  0.176
61  	  N  	  0.148  	  0.176
62  	  N  	  0.145  	  0.176
63  	  N  	  0.143  	  0.176
64  	  N  	  0.141  	  0.176
65  	  N  	  0.138  	  0.176
66  	  N  	  0.136  	  0.176
67  	  N  	  0.134  	  0.176
68  	  R  	  0.147  	  0.196
69  	  R  	  0.159  	  0.216
70  	  N  	  0.157  	  0.216
71  	  N  	  0.155  	  0.216
72  	  N  	  0.153  	  0.216
73  	  N  	  0.151  	  0.216
74  	  N  	  0.149  	  0.216
75  	  N  	  0.147  	  0.216
76  	  N  	  0.145  	  0.216
77  	  N  	  0.143  	  0.216
78  	  N  	  0.141  	  0.216
79  	  N  	  0.139  	  0.216
80  	  N  	  0.138  	  0.216
81  	  N  	  0.136  	  0.216
82  	  N  	  0.134  	  0.216
83  	  N  	  0.133  	  0.216
84  	  N  	  0.131  	  0.216
85  	  N  	  0.129  	  0.216
86  	  N  	  0.128  	  0.216
87  	  R  	  0.138  	  0.235
88  	  N  	  0.136  	  0.235
89  	  N  	  0.135  	  0.235
90  	  N  	  0.133  	  0.235
91  	  N  	  0.132  	  0.235
92  	  N  	  0.130  	  0.235
93  	  N  	  0.129  	  0.235
94  	  N  	  0.128  	  0.235
95  	  N  	  0.126  	  0.235
96  	  N  	  0.125  	  0.235
97  	  N  	  0.124  	  0.235
98  	  N  	  0.122  	  0.235
99  	  N  	  0.121  	  0.235
100  	  N  	  0.120  	  0.235
