Query 27: memory management aspects of operating systems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.034
03  	  N  	  0.333  	  0.034
04  	  N  	  0.250  	  0.034
05  	  N  	  0.200  	  0.034
06  	  R  	  0.333  	  0.069
07  	  R  	  0.429  	  0.103
08  	  N  	  0.375  	  0.103
09  	  N  	  0.333  	  0.103
10  	  R  	  0.400  	  0.138
11  	  N  	  0.364  	  0.138
12  	  R  	  0.417  	  0.172
13  	  R  	  0.462  	  0.207
14  	  R  	  0.500  	  0.241
15  	  R  	  0.533  	  0.276
16  	  N  	  0.500  	  0.276
17  	  N  	  0.471  	  0.276
18  	  N  	  0.444  	  0.276
19  	  N  	  0.421  	  0.276
20  	  N  	  0.400  	  0.276
21  	  N  	  0.381  	  0.276
22  	  N  	  0.364  	  0.276
23  	  N  	  0.348  	  0.276
24  	  N  	  0.333  	  0.276
25  	  N  	  0.320  	  0.276
26  	  R  	  0.346  	  0.310
27  	  N  	  0.333  	  0.310
28  	  N  	  0.321  	  0.310
29  	  N  	  0.310  	  0.310
30  	  N  	  0.300  	  0.310
31  	  N  	  0.290  	  0.310
32  	  N  	  0.281  	  0.310
33  	  N  	  0.273  	  0.310
34  	  R  	  0.294  	  0.345
35  	  N  	  0.286  	  0.345
36  	  N  	  0.278  	  0.345
37  	  R  	  0.297  	  0.379
38  	  N  	  0.289  	  0.379
39  	  R  	  0.308  	  0.414
40  	  N  	  0.300  	  0.414
41  	  N  	  0.293  	  0.414
42  	  N  	  0.286  	  0.414
43  	  R  	  0.302  	  0.448
44  	  N  	  0.295  	  0.448
45  	  N  	  0.289  	  0.448
46  	  N  	  0.283  	  0.448
47  	  N  	  0.277  	  0.448
48  	  N  	  0.271  	  0.448
49  	  N  	  0.265  	  0.448
50  	  N  	  0.260  	  0.448
51  	  N  	  0.255  	  0.448
52  	  N  	  0.250  	  0.448
53  	  N  	  0.245  	  0.448
54  	  N  	  0.241  	  0.448
55  	  R  	  0.255  	  0.483
56  	  N  	  0.250  	  0.483
57  	  R  	  0.263  	  0.517
58  	  N  	  0.259  	  0.517
59  	  N  	  0.254  	  0.517
60  	  N  	  0.250  	  0.517
61  	  N  	  0.246  	  0.517
62  	  N  	  0.242  	  0.517
63  	  N  	  0.238  	  0.517
64  	  N  	  0.234  	  0.517
65  	  N  	  0.231  	  0.517
66  	  N  	  0.227  	  0.517
67  	  N  	  0.224  	  0.517
68  	  N  	  0.221  	  0.517
69  	  N  	  0.217  	  0.517
70  	  N  	  0.214  	  0.517
71  	  N  	  0.211  	  0.517
72  	  N  	  0.208  	  0.517
73  	  N  	  0.205  	  0.517
74  	  N  	  0.203  	  0.517
75  	  N  	  0.200  	  0.517
76  	  N  	  0.197  	  0.517
77  	  N  	  0.195  	  0.517
78  	  R  	  0.205  	  0.552
79  	  N  	  0.203  	  0.552
80  	  N  	  0.200  	  0.552
81  	  N  	  0.198  	  0.552
82  	  N  	  0.195  	  0.552
83  	  N  	  0.193  	  0.552
84  	  N  	  0.190  	  0.552
85  	  N  	  0.188  	  0.552
86  	  N  	  0.186  	  0.552
87  	  N  	  0.184  	  0.552
88  	  N  	  0.182  	  0.552
89  	  N  	  0.180  	  0.552
90  	  N  	  0.178  	  0.552
91  	  N  	  0.176  	  0.552
92  	  N  	  0.174  	  0.552
93  	  N  	  0.172  	  0.552
94  	  N  	  0.170  	  0.552
95  	  N  	  0.168  	  0.552
96  	  N  	  0.167  	  0.552
97  	  N  	  0.165  	  0.552
98  	  N  	  0.163  	  0.552
99  	  N  	  0.162  	  0.552
100  	  N  	  0.160  	  0.552
