Query 29: number theoretic algorithms especially involving prime number series sieves and chinese remainder theorem

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.053
03  	  R  	  0.667  	  0.105
04  	  R  	  0.750  	  0.158
05  	  R  	  0.800  	  0.211
06  	  N  	  0.667  	  0.211
07  	  N  	  0.571  	  0.211
08  	  R  	  0.625  	  0.263
09  	  N  	  0.556  	  0.263
10  	  R  	  0.600  	  0.316
11  	  R  	  0.636  	  0.368
12  	  N  	  0.583  	  0.368
13  	  N  	  0.538  	  0.368
14  	  N  	  0.500  	  0.368
15  	  N  	  0.467  	  0.368
16  	  N  	  0.438  	  0.368
17  	  N  	  0.412  	  0.368
18  	  N  	  0.389  	  0.368
19  	  R  	  0.421  	  0.421
20  	  N  	  0.400  	  0.421
21  	  N  	  0.381  	  0.421
22  	  R  	  0.409  	  0.474
23  	  N  	  0.391  	  0.474
24  	  N  	  0.375  	  0.474
25  	  N  	  0.360  	  0.474
26  	  N  	  0.346  	  0.474
27  	  N  	  0.333  	  0.474
28  	  N  	  0.321  	  0.474
29  	  N  	  0.310  	  0.474
30  	  N  	  0.300  	  0.474
31  	  N  	  0.290  	  0.474
32  	  N  	  0.281  	  0.474
33  	  N  	  0.273  	  0.474
34  	  N  	  0.265  	  0.474
35  	  R  	  0.286  	  0.526
36  	  N  	  0.278  	  0.526
37  	  N  	  0.270  	  0.526
38  	  N  	  0.263  	  0.526
39  	  N  	  0.256  	  0.526
40  	  N  	  0.250  	  0.526
41  	  N  	  0.244  	  0.526
42  	  N  	  0.238  	  0.526
43  	  N  	  0.233  	  0.526
44  	  N  	  0.227  	  0.526
45  	  N  	  0.222  	  0.526
46  	  N  	  0.217  	  0.526
47  	  N  	  0.213  	  0.526
48  	  N  	  0.208  	  0.526
49  	  N  	  0.204  	  0.526
50  	  N  	  0.200  	  0.526
51  	  N  	  0.196  	  0.526
52  	  N  	  0.192  	  0.526
53  	  N  	  0.189  	  0.526
54  	  N  	  0.185  	  0.526
55  	  N  	  0.182  	  0.526
56  	  N  	  0.179  	  0.526
57  	  N  	  0.175  	  0.526
58  	  N  	  0.172  	  0.526
59  	  N  	  0.169  	  0.526
60  	  N  	  0.167  	  0.526
61  	  N  	  0.164  	  0.526
62  	  N  	  0.161  	  0.526
63  	  N  	  0.159  	  0.526
64  	  N  	  0.156  	  0.526
65  	  N  	  0.154  	  0.526
66  	  N  	  0.152  	  0.526
67  	  N  	  0.149  	  0.526
68  	  N  	  0.147  	  0.526
69  	  N  	  0.145  	  0.526
70  	  N  	  0.143  	  0.526
71  	  N  	  0.141  	  0.526
72  	  N  	  0.139  	  0.526
73  	  N  	  0.137  	  0.526
74  	  N  	  0.135  	  0.526
75  	  R  	  0.147  	  0.579
76  	  N  	  0.145  	  0.579
77  	  N  	  0.143  	  0.579
78  	  N  	  0.141  	  0.579
79  	  N  	  0.139  	  0.579
80  	  N  	  0.138  	  0.579
81  	  N  	  0.136  	  0.579
82  	  N  	  0.134  	  0.579
83  	  N  	  0.133  	  0.579
84  	  N  	  0.131  	  0.579
85  	  N  	  0.129  	  0.579
86  	  N  	  0.128  	  0.579
87  	  N  	  0.126  	  0.579
88  	  N  	  0.125  	  0.579
89  	  N  	  0.124  	  0.579
90  	  N  	  0.122  	  0.579
91  	  N  	  0.121  	  0.579
92  	  N  	  0.120  	  0.579
93  	  N  	  0.118  	  0.579
94  	  N  	  0.117  	  0.579
95  	  N  	  0.116  	  0.579
96  	  N  	  0.115  	  0.579
97  	  N  	  0.113  	  0.579
98  	  N  	  0.112  	  0.579
99  	  N  	  0.111  	  0.579
100  	  N  	  0.110  	  0.579
