Query 31: i d like to find articles describing the use of singular value decomposition in digital image processing applications include finding approximations to the original image and restoring images that are subject to noise an article on the subject is h andrews and c patterson outer product expansions and their uses in digital image processing american mathematical andrews h patterson c

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.500
03  	  N  	  0.333  	  0.500
04  	  N  	  0.250  	  0.500
05  	  N  	  0.200  	  0.500
06  	  N  	  0.167  	  0.500
07  	  N  	  0.143  	  0.500
08  	  N  	  0.125  	  0.500
09  	  N  	  0.111  	  0.500
10  	  N  	  0.100  	  0.500
11  	  N  	  0.091  	  0.500
12  	  N  	  0.083  	  0.500
13  	  N  	  0.077  	  0.500
14  	  N  	  0.071  	  0.500
15  	  N  	  0.067  	  0.500
16  	  N  	  0.062  	  0.500
17  	  N  	  0.059  	  0.500
18  	  N  	  0.056  	  0.500
19  	  N  	  0.053  	  0.500
20  	  N  	  0.050  	  0.500
21  	  N  	  0.048  	  0.500
22  	  N  	  0.045  	  0.500
23  	  N  	  0.043  	  0.500
24  	  N  	  0.042  	  0.500
25  	  N  	  0.040  	  0.500
26  	  N  	  0.038  	  0.500
27  	  N  	  0.037  	  0.500
28  	  N  	  0.036  	  0.500
29  	  N  	  0.034  	  0.500
30  	  N  	  0.033  	  0.500
31  	  N  	  0.032  	  0.500
32  	  N  	  0.031  	  0.500
33  	  N  	  0.030  	  0.500
34  	  N  	  0.029  	  0.500
35  	  N  	  0.029  	  0.500
36  	  N  	  0.028  	  0.500
37  	  N  	  0.027  	  0.500
38  	  N  	  0.026  	  0.500
39  	  N  	  0.026  	  0.500
40  	  N  	  0.025  	  0.500
41  	  N  	  0.024  	  0.500
42  	  N  	  0.024  	  0.500
43  	  N  	  0.023  	  0.500
44  	  N  	  0.023  	  0.500
45  	  N  	  0.022  	  0.500
46  	  N  	  0.022  	  0.500
47  	  N  	  0.021  	  0.500
48  	  N  	  0.021  	  0.500
49  	  N  	  0.020  	  0.500
50  	  N  	  0.020  	  0.500
51  	  N  	  0.020  	  0.500
52  	  N  	  0.019  	  0.500
53  	  N  	  0.019  	  0.500
54  	  N  	  0.019  	  0.500
55  	  N  	  0.018  	  0.500
56  	  N  	  0.018  	  0.500
57  	  N  	  0.018  	  0.500
58  	  N  	  0.017  	  0.500
59  	  N  	  0.017  	  0.500
60  	  N  	  0.017  	  0.500
61  	  N  	  0.016  	  0.500
62  	  N  	  0.016  	  0.500
63  	  N  	  0.016  	  0.500
64  	  N  	  0.016  	  0.500
65  	  N  	  0.015  	  0.500
66  	  N  	  0.015  	  0.500
67  	  N  	  0.015  	  0.500
68  	  N  	  0.015  	  0.500
69  	  N  	  0.014  	  0.500
70  	  N  	  0.014  	  0.500
71  	  N  	  0.014  	  0.500
72  	  N  	  0.014  	  0.500
73  	  N  	  0.014  	  0.500
74  	  N  	  0.014  	  0.500
75  	  N  	  0.013  	  0.500
76  	  N  	  0.013  	  0.500
77  	  N  	  0.013  	  0.500
78  	  N  	  0.013  	  0.500
79  	  N  	  0.013  	  0.500
80  	  N  	  0.013  	  0.500
81  	  N  	  0.012  	  0.500
82  	  N  	  0.012  	  0.500
83  	  N  	  0.012  	  0.500
84  	  N  	  0.012  	  0.500
85  	  N  	  0.012  	  0.500
86  	  N  	  0.012  	  0.500
87  	  N  	  0.011  	  0.500
88  	  N  	  0.011  	  0.500
89  	  N  	  0.011  	  0.500
90  	  N  	  0.011  	  0.500
91  	  N  	  0.011  	  0.500
92  	  N  	  0.011  	  0.500
93  	  N  	  0.011  	  0.500
94  	  N  	  0.011  	  0.500
95  	  N  	  0.011  	  0.500
96  	  N  	  0.010  	  0.500
97  	  N  	  0.010  	  0.500
98  	  N  	  0.010  	  0.500
99  	  N  	  0.010  	  0.500
100  	  N  	  0.010  	  0.500
