Query 37: articles describing the relationship between data types and concurrency e g what is the type of a process when is a synchronization attempt between two processes type correct in a message passing system is there any notion of the types of messages i e any way to check that the sender of the message and the receiver are both treating the bit stream as some particular type

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.083
03  	  N  	  0.333  	  0.083
04  	  N  	  0.250  	  0.083
05  	  N  	  0.200  	  0.083
06  	  N  	  0.167  	  0.083
07  	  N  	  0.143  	  0.083
08  	  N  	  0.125  	  0.083
09  	  N  	  0.111  	  0.083
10  	  N  	  0.100  	  0.083
11  	  N  	  0.091  	  0.083
12  	  N  	  0.083  	  0.083
13  	  N  	  0.077  	  0.083
14  	  N  	  0.071  	  0.083
15  	  N  	  0.067  	  0.083
16  	  N  	  0.062  	  0.083
17  	  N  	  0.059  	  0.083
18  	  N  	  0.056  	  0.083
19  	  N  	  0.053  	  0.083
20  	  N  	  0.050  	  0.083
21  	  N  	  0.048  	  0.083
22  	  N  	  0.045  	  0.083
23  	  N  	  0.043  	  0.083
24  	  N  	  0.042  	  0.083
25  	  N  	  0.040  	  0.083
26  	  N  	  0.038  	  0.083
27  	  N  	  0.037  	  0.083
28  	  N  	  0.036  	  0.083
29  	  N  	  0.034  	  0.083
30  	  R  	  0.067  	  0.167
31  	  R  	  0.097  	  0.250
32  	  N  	  0.094  	  0.250
33  	  N  	  0.091  	  0.250
34  	  N  	  0.088  	  0.250
35  	  N  	  0.086  	  0.250
36  	  N  	  0.083  	  0.250
37  	  N  	  0.081  	  0.250
38  	  N  	  0.079  	  0.250
39  	  N  	  0.077  	  0.250
40  	  N  	  0.075  	  0.250
41  	  N  	  0.073  	  0.250
42  	  N  	  0.071  	  0.250
43  	  N  	  0.070  	  0.250
44  	  N  	  0.068  	  0.250
45  	  N  	  0.067  	  0.250
46  	  N  	  0.065  	  0.250
47  	  N  	  0.064  	  0.250
48  	  N  	  0.062  	  0.250
49  	  N  	  0.061  	  0.250
50  	  N  	  0.060  	  0.250
51  	  N  	  0.059  	  0.250
52  	  N  	  0.058  	  0.250
53  	  N  	  0.057  	  0.250
54  	  N  	  0.056  	  0.250
55  	  N  	  0.055  	  0.250
56  	  N  	  0.054  	  0.250
57  	  N  	  0.053  	  0.250
58  	  N  	  0.052  	  0.250
59  	  N  	  0.051  	  0.250
60  	  N  	  0.050  	  0.250
61  	  N  	  0.049  	  0.250
62  	  N  	  0.048  	  0.250
63  	  N  	  0.048  	  0.250
64  	  N  	  0.047  	  0.250
65  	  N  	  0.046  	  0.250
66  	  N  	  0.045  	  0.250
67  	  N  	  0.045  	  0.250
68  	  N  	  0.044  	  0.250
69  	  N  	  0.043  	  0.250
70  	  N  	  0.043  	  0.250
71  	  N  	  0.042  	  0.250
72  	  N  	  0.042  	  0.250
73  	  N  	  0.041  	  0.250
74  	  N  	  0.041  	  0.250
75  	  R  	  0.053  	  0.333
76  	  N  	  0.053  	  0.333
77  	  N  	  0.052  	  0.333
78  	  N  	  0.051  	  0.333
79  	  N  	  0.051  	  0.333
80  	  N  	  0.050  	  0.333
81  	  N  	  0.049  	  0.333
82  	  N  	  0.049  	  0.333
83  	  N  	  0.048  	  0.333
84  	  N  	  0.048  	  0.333
85  	  N  	  0.047  	  0.333
86  	  N  	  0.047  	  0.333
87  	  N  	  0.046  	  0.333
88  	  N  	  0.045  	  0.333
89  	  N  	  0.045  	  0.333
90  	  N  	  0.044  	  0.333
91  	  N  	  0.044  	  0.333
92  	  N  	  0.043  	  0.333
93  	  N  	  0.043  	  0.333
94  	  N  	  0.043  	  0.333
95  	  N  	  0.042  	  0.333
96  	  N  	  0.042  	  0.333
97  	  N  	  0.041  	  0.333
98  	  N  	  0.041  	  0.333
99  	  N  	  0.040  	  0.333
100  	  N  	  0.040  	  0.333
