Query 38: what is the type of a module i don t want the entire literature on abstract data types here but i m not sure how to phrase this to avoid it i m interested in questions about how one can check that a module matches contexts in which it is used

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.062
02  	  R  	  1.000  	  0.125
03  	  R  	  1.000  	  0.188
04  	  R  	  1.000  	  0.250
05  	  R  	  1.000  	  0.312
06  	  N  	  0.833  	  0.312
07  	  N  	  0.714  	  0.312
08  	  N  	  0.625  	  0.312
09  	  R  	  0.667  	  0.375
10  	  N  	  0.600  	  0.375
11  	  N  	  0.545  	  0.375
12  	  N  	  0.500  	  0.375
13  	  N  	  0.462  	  0.375
14  	  N  	  0.429  	  0.375
15  	  N  	  0.400  	  0.375
16  	  N  	  0.375  	  0.375
17  	  R  	  0.412  	  0.438
18  	  N  	  0.389  	  0.438
19  	  N  	  0.368  	  0.438
20  	  N  	  0.350  	  0.438
21  	  N  	  0.333  	  0.438
22  	  N  	  0.318  	  0.438
23  	  N  	  0.304  	  0.438
24  	  N  	  0.292  	  0.438
25  	  N  	  0.280  	  0.438
26  	  N  	  0.269  	  0.438
27  	  N  	  0.259  	  0.438
28  	  R  	  0.286  	  0.500
29  	  N  	  0.276  	  0.500
30  	  R  	  0.300  	  0.562
31  	  R  	  0.323  	  0.625
32  	  N  	  0.312  	  0.625
33  	  N  	  0.303  	  0.625
34  	  N  	  0.294  	  0.625
35  	  N  	  0.286  	  0.625
36  	  N  	  0.278  	  0.625
37  	  N  	  0.270  	  0.625
38  	  N  	  0.263  	  0.625
39  	  N  	  0.256  	  0.625
40  	  N  	  0.250  	  0.625
41  	  N  	  0.244  	  0.625
42  	  N  	  0.238  	  0.625
43  	  N  	  0.233  	  0.625
44  	  N  	  0.227  	  0.625
45  	  N  	  0.222  	  0.625
46  	  N  	  0.217  	  0.625
47  	  N  	  0.213  	  0.625
48  	  N  	  0.208  	  0.625
49  	  N  	  0.204  	  0.625
50  	  N  	  0.200  	  0.625
51  	  N  	  0.196  	  0.625
52  	  N  	  0.192  	  0.625
53  	  N  	  0.189  	  0.625
54  	  N  	  0.185  	  0.625
55  	  N  	  0.182  	  0.625
56  	  N  	  0.179  	  0.625
57  	  N  	  0.175  	  0.625
58  	  N  	  0.172  	  0.625
59  	  N  	  0.169  	  0.625
60  	  N  	  0.167  	  0.625
61  	  N  	  0.164  	  0.625
62  	  N  	  0.161  	  0.625
63  	  N  	  0.159  	  0.625
64  	  N  	  0.156  	  0.625
65  	  N  	  0.154  	  0.625
66  	  N  	  0.152  	  0.625
67  	  N  	  0.149  	  0.625
68  	  N  	  0.147  	  0.625
69  	  N  	  0.145  	  0.625
70  	  N  	  0.143  	  0.625
71  	  N  	  0.141  	  0.625
72  	  N  	  0.139  	  0.625
73  	  N  	  0.137  	  0.625
74  	  N  	  0.135  	  0.625
75  	  N  	  0.133  	  0.625
76  	  N  	  0.132  	  0.625
77  	  N  	  0.130  	  0.625
78  	  N  	  0.128  	  0.625
79  	  N  	  0.127  	  0.625
80  	  N  	  0.125  	  0.625
81  	  N  	  0.123  	  0.625
82  	  N  	  0.122  	  0.625
83  	  N  	  0.120  	  0.625
84  	  N  	  0.119  	  0.625
85  	  N  	  0.118  	  0.625
86  	  N  	  0.116  	  0.625
87  	  N  	  0.115  	  0.625
88  	  N  	  0.114  	  0.625
89  	  N  	  0.112  	  0.625
90  	  N  	  0.111  	  0.625
91  	  R  	  0.121  	  0.688
92  	  N  	  0.120  	  0.688
93  	  N  	  0.118  	  0.688
94  	  N  	  0.117  	  0.688
95  	  N  	  0.116  	  0.688
96  	  N  	  0.115  	  0.688
97  	  N  	  0.113  	  0.688
98  	  N  	  0.112  	  0.688
99  	  N  	  0.111  	  0.688
100  	  N  	  0.110  	  0.688
