Query 39: what does type compatibility mean in languages that allow programmer defined types you might want to restrict this to extensible languages that allow definition of abstract data types or programmer supplied definitions of operators like

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.083
02  	  N  	  0.500  	  0.083
03  	  N  	  0.333  	  0.083
04  	  R  	  0.500  	  0.167
05  	  N  	  0.400  	  0.167
06  	  N  	  0.333  	  0.167
07  	  R  	  0.429  	  0.250
08  	  N  	  0.375  	  0.250
09  	  N  	  0.333  	  0.250
10  	  N  	  0.300  	  0.250
11  	  N  	  0.273  	  0.250
12  	  N  	  0.250  	  0.250
13  	  N  	  0.231  	  0.250
14  	  R  	  0.286  	  0.333
15  	  N  	  0.267  	  0.333
16  	  N  	  0.250  	  0.333
17  	  N  	  0.235  	  0.333
18  	  N  	  0.222  	  0.333
19  	  R  	  0.263  	  0.417
20  	  N  	  0.250  	  0.417
21  	  N  	  0.238  	  0.417
22  	  N  	  0.227  	  0.417
23  	  N  	  0.217  	  0.417
24  	  N  	  0.208  	  0.417
25  	  N  	  0.200  	  0.417
26  	  R  	  0.231  	  0.500
27  	  N  	  0.222  	  0.500
28  	  N  	  0.214  	  0.500
29  	  N  	  0.207  	  0.500
30  	  N  	  0.200  	  0.500
31  	  N  	  0.194  	  0.500
32  	  N  	  0.188  	  0.500
33  	  N  	  0.182  	  0.500
34  	  N  	  0.176  	  0.500
35  	  N  	  0.171  	  0.500
36  	  N  	  0.167  	  0.500
37  	  N  	  0.162  	  0.500
38  	  N  	  0.158  	  0.500
39  	  N  	  0.154  	  0.500
40  	  N  	  0.150  	  0.500
41  	  N  	  0.146  	  0.500
42  	  N  	  0.143  	  0.500
43  	  N  	  0.140  	  0.500
44  	  N  	  0.136  	  0.500
45  	  N  	  0.133  	  0.500
46  	  N  	  0.130  	  0.500
47  	  N  	  0.128  	  0.500
48  	  N  	  0.125  	  0.500
49  	  N  	  0.122  	  0.500
50  	  N  	  0.120  	  0.500
51  	  N  	  0.118  	  0.500
52  	  N  	  0.115  	  0.500
53  	  N  	  0.113  	  0.500
54  	  N  	  0.111  	  0.500
55  	  N  	  0.109  	  0.500
56  	  N  	  0.107  	  0.500
57  	  N  	  0.105  	  0.500
58  	  N  	  0.103  	  0.500
59  	  N  	  0.102  	  0.500
60  	  N  	  0.100  	  0.500
61  	  N  	  0.098  	  0.500
62  	  N  	  0.097  	  0.500
63  	  R  	  0.111  	  0.583
64  	  N  	  0.109  	  0.583
65  	  N  	  0.108  	  0.583
66  	  N  	  0.106  	  0.583
67  	  N  	  0.104  	  0.583
68  	  N  	  0.103  	  0.583
69  	  N  	  0.101  	  0.583
70  	  N  	  0.100  	  0.583
71  	  N  	  0.099  	  0.583
72  	  N  	  0.097  	  0.583
73  	  N  	  0.096  	  0.583
74  	  N  	  0.095  	  0.583
75  	  N  	  0.093  	  0.583
76  	  N  	  0.092  	  0.583
77  	  N  	  0.091  	  0.583
78  	  N  	  0.090  	  0.583
79  	  N  	  0.089  	  0.583
80  	  R  	  0.100  	  0.667
81  	  N  	  0.099  	  0.667
82  	  N  	  0.098  	  0.667
83  	  N  	  0.096  	  0.667
84  	  N  	  0.095  	  0.667
85  	  N  	  0.094  	  0.667
86  	  N  	  0.093  	  0.667
87  	  N  	  0.092  	  0.667
88  	  N  	  0.091  	  0.667
89  	  N  	  0.090  	  0.667
90  	  N  	  0.089  	  0.667
91  	  N  	  0.088  	  0.667
92  	  N  	  0.087  	  0.667
93  	  N  	  0.086  	  0.667
94  	  N  	  0.085  	  0.667
95  	  N  	  0.084  	  0.667
96  	  N  	  0.083  	  0.667
97  	  N  	  0.082  	  0.667
98  	  N  	  0.082  	  0.667
99  	  N  	  0.081  	  0.667
100  	  N  	  0.080  	  0.667
