Query 43: analysis and perception of shape by humans and computers shape descriptions shape recognition by computer two dimensional shapes measures of circularity shape matching

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.024
02  	  N  	  0.500  	  0.024
03  	  N  	  0.333  	  0.024
04  	  N  	  0.250  	  0.024
05  	  N  	  0.200  	  0.024
06  	  N  	  0.167  	  0.024
07  	  N  	  0.143  	  0.024
08  	  N  	  0.125  	  0.024
09  	  N  	  0.111  	  0.024
10  	  N  	  0.100  	  0.024
11  	  N  	  0.091  	  0.024
12  	  N  	  0.083  	  0.024
13  	  N  	  0.077  	  0.024
14  	  N  	  0.071  	  0.024
15  	  N  	  0.067  	  0.024
16  	  N  	  0.062  	  0.024
17  	  R  	  0.118  	  0.049
18  	  N  	  0.111  	  0.049
19  	  N  	  0.105  	  0.049
20  	  N  	  0.100  	  0.049
21  	  N  	  0.095  	  0.049
22  	  N  	  0.091  	  0.049
23  	  R  	  0.130  	  0.073
24  	  N  	  0.125  	  0.073
25  	  N  	  0.120  	  0.073
26  	  N  	  0.115  	  0.073
27  	  N  	  0.111  	  0.073
28  	  N  	  0.107  	  0.073
29  	  N  	  0.103  	  0.073
30  	  N  	  0.100  	  0.073
31  	  N  	  0.097  	  0.073
32  	  N  	  0.094  	  0.073
33  	  N  	  0.091  	  0.073
34  	  N  	  0.088  	  0.073
35  	  N  	  0.086  	  0.073
36  	  N  	  0.083  	  0.073
37  	  N  	  0.081  	  0.073
38  	  N  	  0.079  	  0.073
39  	  N  	  0.077  	  0.073
40  	  N  	  0.075  	  0.073
41  	  N  	  0.073  	  0.073
42  	  N  	  0.071  	  0.073
43  	  N  	  0.070  	  0.073
44  	  N  	  0.068  	  0.073
45  	  N  	  0.067  	  0.073
46  	  N  	  0.065  	  0.073
47  	  N  	  0.064  	  0.073
48  	  N  	  0.062  	  0.073
49  	  N  	  0.061  	  0.073
50  	  N  	  0.060  	  0.073
51  	  N  	  0.059  	  0.073
52  	  N  	  0.058  	  0.073
53  	  N  	  0.057  	  0.073
54  	  N  	  0.056  	  0.073
55  	  N  	  0.055  	  0.073
56  	  N  	  0.054  	  0.073
57  	  N  	  0.053  	  0.073
58  	  N  	  0.052  	  0.073
59  	  N  	  0.051  	  0.073
60  	  N  	  0.050  	  0.073
61  	  N  	  0.049  	  0.073
62  	  R  	  0.065  	  0.098
63  	  N  	  0.063  	  0.098
64  	  N  	  0.062  	  0.098
65  	  N  	  0.062  	  0.098
66  	  N  	  0.061  	  0.098
67  	  N  	  0.060  	  0.098
68  	  N  	  0.059  	  0.098
69  	  N  	  0.058  	  0.098
70  	  N  	  0.057  	  0.098
71  	  N  	  0.056  	  0.098
72  	  N  	  0.056  	  0.098
73  	  N  	  0.055  	  0.098
74  	  N  	  0.054  	  0.098
75  	  N  	  0.053  	  0.098
76  	  N  	  0.053  	  0.098
77  	  N  	  0.052  	  0.098
78  	  N  	  0.051  	  0.098
79  	  N  	  0.051  	  0.098
80  	  N  	  0.050  	  0.098
81  	  N  	  0.049  	  0.098
82  	  N  	  0.049  	  0.098
83  	  N  	  0.048  	  0.098
84  	  R  	  0.060  	  0.122
85  	  N  	  0.059  	  0.122
86  	  N  	  0.058  	  0.122
87  	  N  	  0.057  	  0.122
88  	  R  	  0.068  	  0.146
89  	  N  	  0.067  	  0.146
90  	  N  	  0.067  	  0.146
91  	  N  	  0.066  	  0.146
92  	  N  	  0.065  	  0.146
93  	  N  	  0.065  	  0.146
94  	  N  	  0.064  	  0.146
95  	  N  	  0.063  	  0.146
96  	  N  	  0.062  	  0.146
97  	  N  	  0.062  	  0.146
98  	  N  	  0.061  	  0.146
99  	  N  	  0.061  	  0.146
100  	  N  	  0.060  	  0.146
