Query 45: the use of operations research models to optimize information system performance this includes fine tuning decisions such as secondary index selection file reorganization and distributed databases

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  R  	  0.333  	  0.038
04  	  N  	  0.250  	  0.038
05  	  N  	  0.200  	  0.038
06  	  N  	  0.167  	  0.038
07  	  N  	  0.143  	  0.038
08  	  N  	  0.125  	  0.038
09  	  N  	  0.111  	  0.038
10  	  N  	  0.100  	  0.038
11  	  N  	  0.091  	  0.038
12  	  N  	  0.083  	  0.038
13  	  N  	  0.077  	  0.038
14  	  N  	  0.071  	  0.038
15  	  N  	  0.067  	  0.038
16  	  N  	  0.062  	  0.038
17  	  N  	  0.059  	  0.038
18  	  N  	  0.056  	  0.038
19  	  N  	  0.053  	  0.038
20  	  N  	  0.050  	  0.038
21  	  N  	  0.048  	  0.038
22  	  N  	  0.045  	  0.038
23  	  N  	  0.043  	  0.038
24  	  N  	  0.042  	  0.038
25  	  N  	  0.040  	  0.038
26  	  N  	  0.038  	  0.038
27  	  N  	  0.037  	  0.038
28  	  N  	  0.036  	  0.038
29  	  N  	  0.034  	  0.038
30  	  N  	  0.033  	  0.038
31  	  N  	  0.032  	  0.038
32  	  N  	  0.031  	  0.038
33  	  N  	  0.030  	  0.038
34  	  N  	  0.029  	  0.038
35  	  N  	  0.029  	  0.038
36  	  N  	  0.028  	  0.038
37  	  N  	  0.027  	  0.038
38  	  N  	  0.026  	  0.038
39  	  N  	  0.026  	  0.038
40  	  N  	  0.025  	  0.038
41  	  N  	  0.024  	  0.038
42  	  R  	  0.048  	  0.077
43  	  N  	  0.047  	  0.077
44  	  N  	  0.045  	  0.077
45  	  N  	  0.044  	  0.077
46  	  N  	  0.043  	  0.077
47  	  N  	  0.043  	  0.077
48  	  N  	  0.042  	  0.077
49  	  N  	  0.041  	  0.077
50  	  N  	  0.040  	  0.077
51  	  N  	  0.039  	  0.077
52  	  N  	  0.038  	  0.077
53  	  N  	  0.038  	  0.077
54  	  N  	  0.037  	  0.077
55  	  N  	  0.036  	  0.077
56  	  N  	  0.036  	  0.077
57  	  N  	  0.035  	  0.077
58  	  N  	  0.034  	  0.077
59  	  N  	  0.034  	  0.077
60  	  N  	  0.033  	  0.077
61  	  N  	  0.033  	  0.077
62  	  N  	  0.032  	  0.077
63  	  R  	  0.048  	  0.115
64  	  R  	  0.062  	  0.154
65  	  N  	  0.062  	  0.154
66  	  N  	  0.061  	  0.154
67  	  N  	  0.060  	  0.154
68  	  R  	  0.074  	  0.192
69  	  N  	  0.072  	  0.192
70  	  N  	  0.071  	  0.192
71  	  N  	  0.070  	  0.192
72  	  N  	  0.069  	  0.192
73  	  N  	  0.068  	  0.192
74  	  N  	  0.068  	  0.192
75  	  N  	  0.067  	  0.192
76  	  N  	  0.066  	  0.192
77  	  N  	  0.065  	  0.192
78  	  N  	  0.064  	  0.192
79  	  N  	  0.063  	  0.192
80  	  R  	  0.075  	  0.231
81  	  N  	  0.074  	  0.231
82  	  N  	  0.073  	  0.231
83  	  N  	  0.072  	  0.231
84  	  N  	  0.071  	  0.231
85  	  N  	  0.071  	  0.231
86  	  N  	  0.070  	  0.231
87  	  N  	  0.069  	  0.231
88  	  N  	  0.068  	  0.231
89  	  N  	  0.067  	  0.231
90  	  N  	  0.067  	  0.231
91  	  R  	  0.077  	  0.269
92  	  N  	  0.076  	  0.269
93  	  N  	  0.075  	  0.269
94  	  N  	  0.074  	  0.269
95  	  R  	  0.084  	  0.308
96  	  N  	  0.083  	  0.308
97  	  N  	  0.082  	  0.308
98  	  N  	  0.082  	  0.308
99  	  N  	  0.081  	  0.308
100  	  N  	  0.080  	  0.308
