Query 48: the use of computer science principles e g data structures numerical methods in generating optimization e g linear programming algorithms this includes issues of the khachian russian ellipsoidal algorithm and complexity of such algorithms

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  R  	  0.333  	  0.083
04  	  R  	  0.500  	  0.167
05  	  N  	  0.400  	  0.167
06  	  N  	  0.333  	  0.167
07  	  R  	  0.429  	  0.250
08  	  R  	  0.500  	  0.333
09  	  R  	  0.556  	  0.417
10  	  N  	  0.500  	  0.417
11  	  N  	  0.455  	  0.417
12  	  N  	  0.417  	  0.417
13  	  R  	  0.462  	  0.500
14  	  N  	  0.429  	  0.500
15  	  N  	  0.400  	  0.500
16  	  N  	  0.375  	  0.500
17  	  N  	  0.353  	  0.500
18  	  N  	  0.333  	  0.500
19  	  N  	  0.316  	  0.500
20  	  N  	  0.300  	  0.500
21  	  N  	  0.286  	  0.500
22  	  R  	  0.318  	  0.583
23  	  R  	  0.348  	  0.667
24  	  N  	  0.333  	  0.667
25  	  R  	  0.360  	  0.750
26  	  N  	  0.346  	  0.750
27  	  N  	  0.333  	  0.750
28  	  N  	  0.321  	  0.750
29  	  N  	  0.310  	  0.750
30  	  N  	  0.300  	  0.750
31  	  N  	  0.290  	  0.750
32  	  N  	  0.281  	  0.750
33  	  N  	  0.273  	  0.750
34  	  N  	  0.265  	  0.750
35  	  N  	  0.257  	  0.750
36  	  N  	  0.250  	  0.750
37  	  R  	  0.270  	  0.833
38  	  N  	  0.263  	  0.833
39  	  N  	  0.256  	  0.833
40  	  N  	  0.250  	  0.833
41  	  N  	  0.244  	  0.833
42  	  R  	  0.262  	  0.917
43  	  N  	  0.256  	  0.917
44  	  N  	  0.250  	  0.917
45  	  N  	  0.244  	  0.917
46  	  N  	  0.239  	  0.917
47  	  N  	  0.234  	  0.917
48  	  N  	  0.229  	  0.917
49  	  N  	  0.224  	  0.917
50  	  N  	  0.220  	  0.917
51  	  N  	  0.216  	  0.917
52  	  N  	  0.212  	  0.917
53  	  N  	  0.208  	  0.917
54  	  N  	  0.204  	  0.917
55  	  N  	  0.200  	  0.917
56  	  N  	  0.196  	  0.917
57  	  N  	  0.193  	  0.917
58  	  N  	  0.190  	  0.917
59  	  N  	  0.186  	  0.917
60  	  N  	  0.183  	  0.917
61  	  N  	  0.180  	  0.917
62  	  N  	  0.177  	  0.917
63  	  N  	  0.175  	  0.917
64  	  N  	  0.172  	  0.917
65  	  N  	  0.169  	  0.917
66  	  N  	  0.167  	  0.917
67  	  N  	  0.164  	  0.917
68  	  N  	  0.162  	  0.917
69  	  N  	  0.159  	  0.917
70  	  N  	  0.157  	  0.917
71  	  N  	  0.155  	  0.917
72  	  N  	  0.153  	  0.917
73  	  N  	  0.151  	  0.917
74  	  N  	  0.149  	  0.917
75  	  N  	  0.147  	  0.917
76  	  N  	  0.145  	  0.917
77  	  N  	  0.143  	  0.917
78  	  N  	  0.141  	  0.917
79  	  N  	  0.139  	  0.917
80  	  N  	  0.138  	  0.917
81  	  N  	  0.136  	  0.917
82  	  N  	  0.134  	  0.917
83  	  N  	  0.133  	  0.917
84  	  N  	  0.131  	  0.917
85  	  N  	  0.129  	  0.917
86  	  N  	  0.128  	  0.917
87  	  N  	  0.126  	  0.917
88  	  N  	  0.125  	  0.917
89  	  N  	  0.124  	  0.917
90  	  N  	  0.122  	  0.917
91  	  N  	  0.121  	  0.917
92  	  N  	  0.120  	  0.917
93  	  N  	  0.118  	  0.917
94  	  N  	  0.117  	  0.917
95  	  N  	  0.116  	  0.917
96  	  N  	  0.115  	  0.917
97  	  N  	  0.113  	  0.917
98  	  N  	  0.112  	  0.917
99  	  N  	  0.111  	  0.917
100  	  N  	  0.110  	  0.917
