Query 49: the role of information retrieval in knowledge based systems i e expert systems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  N  	  0.000  	  0.000
12  	  N  	  0.000  	  0.000
13  	  N  	  0.000  	  0.000
14  	  N  	  0.000  	  0.000
15  	  N  	  0.000  	  0.000
16  	  N  	  0.000  	  0.000
17  	  N  	  0.000  	  0.000
18  	  N  	  0.000  	  0.000
19  	  N  	  0.000  	  0.000
20  	  N  	  0.000  	  0.000
21  	  N  	  0.000  	  0.000
22  	  N  	  0.000  	  0.000
23  	  N  	  0.000  	  0.000
24  	  N  	  0.000  	  0.000
25  	  N  	  0.000  	  0.000
26  	  N  	  0.000  	  0.000
27  	  N  	  0.000  	  0.000
28  	  N  	  0.000  	  0.000
29  	  N  	  0.000  	  0.000
30  	  N  	  0.000  	  0.000
31  	  N  	  0.000  	  0.000
32  	  N  	  0.000  	  0.000
33  	  R  	  0.030  	  0.125
34  	  N  	  0.029  	  0.125
35  	  N  	  0.029  	  0.125
36  	  N  	  0.028  	  0.125
37  	  N  	  0.027  	  0.125
38  	  N  	  0.026  	  0.125
39  	  N  	  0.026  	  0.125
40  	  N  	  0.025  	  0.125
41  	  N  	  0.024  	  0.125
42  	  N  	  0.024  	  0.125
43  	  N  	  0.023  	  0.125
44  	  N  	  0.023  	  0.125
45  	  N  	  0.022  	  0.125
46  	  N  	  0.022  	  0.125
47  	  N  	  0.021  	  0.125
48  	  N  	  0.021  	  0.125
49  	  N  	  0.020  	  0.125
50  	  R  	  0.040  	  0.250
51  	  N  	  0.039  	  0.250
52  	  N  	  0.038  	  0.250
53  	  N  	  0.038  	  0.250
54  	  N  	  0.037  	  0.250
55  	  N  	  0.036  	  0.250
56  	  N  	  0.036  	  0.250
57  	  N  	  0.035  	  0.250
58  	  N  	  0.034  	  0.250
59  	  N  	  0.034  	  0.250
60  	  N  	  0.033  	  0.250
61  	  N  	  0.033  	  0.250
62  	  N  	  0.032  	  0.250
63  	  N  	  0.032  	  0.250
64  	  N  	  0.031  	  0.250
65  	  N  	  0.031  	  0.250
66  	  N  	  0.030  	  0.250
67  	  N  	  0.030  	  0.250
68  	  N  	  0.029  	  0.250
69  	  N  	  0.029  	  0.250
70  	  N  	  0.029  	  0.250
71  	  N  	  0.028  	  0.250
72  	  R  	  0.042  	  0.375
73  	  N  	  0.041  	  0.375
74  	  N  	  0.041  	  0.375
75  	  N  	  0.040  	  0.375
76  	  N  	  0.039  	  0.375
77  	  N  	  0.039  	  0.375
78  	  N  	  0.038  	  0.375
79  	  N  	  0.038  	  0.375
80  	  N  	  0.037  	  0.375
81  	  N  	  0.037  	  0.375
82  	  N  	  0.037  	  0.375
83  	  N  	  0.036  	  0.375
84  	  N  	  0.036  	  0.375
85  	  N  	  0.035  	  0.375
86  	  N  	  0.035  	  0.375
87  	  N  	  0.034  	  0.375
88  	  N  	  0.034  	  0.375
89  	  N  	  0.034  	  0.375
90  	  N  	  0.033  	  0.375
91  	  N  	  0.033  	  0.375
92  	  N  	  0.033  	  0.375
93  	  N  	  0.032  	  0.375
94  	  N  	  0.032  	  0.375
95  	  R  	  0.042  	  0.500
96  	  N  	  0.042  	  0.500
97  	  N  	  0.041  	  0.500
98  	  N  	  0.041  	  0.500
99  	  N  	  0.040  	  0.500
100  	  R  	  0.050  	  0.625
