Query 59: dictionary construction and accessing methods for fast retrieval of words or lexical items or morphologically related information hashing or indexing methods are usually applied to english spelling or natural language problems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  R  	  0.100  	  0.023
11  	  N  	  0.091  	  0.023
12  	  N  	  0.083  	  0.023
13  	  N  	  0.077  	  0.023
14  	  N  	  0.071  	  0.023
15  	  R  	  0.133  	  0.047
16  	  N  	  0.125  	  0.047
17  	  N  	  0.118  	  0.047
18  	  N  	  0.111  	  0.047
19  	  N  	  0.105  	  0.047
20  	  N  	  0.100  	  0.047
21  	  N  	  0.095  	  0.047
22  	  N  	  0.091  	  0.047
23  	  N  	  0.087  	  0.047
24  	  N  	  0.083  	  0.047
25  	  N  	  0.080  	  0.047
26  	  N  	  0.077  	  0.047
27  	  N  	  0.074  	  0.047
28  	  R  	  0.107  	  0.070
29  	  N  	  0.103  	  0.070
30  	  N  	  0.100  	  0.070
31  	  R  	  0.129  	  0.093
32  	  N  	  0.125  	  0.093
33  	  N  	  0.121  	  0.093
34  	  N  	  0.118  	  0.093
35  	  R  	  0.143  	  0.116
36  	  R  	  0.167  	  0.140
37  	  N  	  0.162  	  0.140
38  	  N  	  0.158  	  0.140
39  	  N  	  0.154  	  0.140
40  	  N  	  0.150  	  0.140
41  	  N  	  0.146  	  0.140
42  	  N  	  0.143  	  0.140
43  	  R  	  0.163  	  0.163
44  	  N  	  0.159  	  0.163
45  	  N  	  0.156  	  0.163
46  	  N  	  0.152  	  0.163
47  	  N  	  0.149  	  0.163
48  	  N  	  0.146  	  0.163
49  	  N  	  0.143  	  0.163
50  	  N  	  0.140  	  0.163
51  	  N  	  0.137  	  0.163
52  	  R  	  0.154  	  0.186
53  	  N  	  0.151  	  0.186
54  	  N  	  0.148  	  0.186
55  	  N  	  0.145  	  0.186
56  	  R  	  0.161  	  0.209
57  	  N  	  0.158  	  0.209
58  	  N  	  0.155  	  0.209
59  	  R  	  0.169  	  0.233
60  	  R  	  0.183  	  0.256
61  	  N  	  0.180  	  0.256
62  	  N  	  0.177  	  0.256
63  	  N  	  0.175  	  0.256
64  	  N  	  0.172  	  0.256
65  	  N  	  0.169  	  0.256
66  	  R  	  0.182  	  0.279
67  	  N  	  0.179  	  0.279
68  	  N  	  0.176  	  0.279
69  	  N  	  0.174  	  0.279
70  	  N  	  0.171  	  0.279
71  	  N  	  0.169  	  0.279
72  	  N  	  0.167  	  0.279
73  	  N  	  0.164  	  0.279
74  	  R  	  0.176  	  0.302
75  	  N  	  0.173  	  0.302
76  	  N  	  0.171  	  0.302
77  	  N  	  0.169  	  0.302
78  	  N  	  0.167  	  0.302
79  	  N  	  0.165  	  0.302
80  	  N  	  0.163  	  0.302
81  	  R  	  0.173  	  0.326
82  	  N  	  0.171  	  0.326
83  	  N  	  0.169  	  0.326
84  	  N  	  0.167  	  0.326
85  	  N  	  0.165  	  0.326
86  	  R  	  0.174  	  0.349
87  	  N  	  0.172  	  0.349
88  	  N  	  0.170  	  0.349
89  	  N  	  0.169  	  0.349
90  	  N  	  0.167  	  0.349
91  	  N  	  0.165  	  0.349
92  	  N  	  0.163  	  0.349
93  	  N  	  0.161  	  0.349
94  	  N  	  0.160  	  0.349
95  	  N  	  0.158  	  0.349
96  	  R  	  0.167  	  0.372
97  	  N  	  0.165  	  0.372
98  	  N  	  0.163  	  0.372
99  	  N  	  0.162  	  0.372
100  	  N  	  0.160  	  0.372
