Query 6: interested in articles on robotics motion planning particularly the geometric and combinatorial aspects we are not interested in the dynamics of arm motion

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  N  	  0.000  	  0.000
12  	  N  	  0.000  	  0.000
13  	  N  	  0.000  	  0.000
14  	  N  	  0.000  	  0.000
15  	  N  	  0.000  	  0.000
16  	  R  	  0.062  	  0.333
17  	  N  	  0.059  	  0.333
18  	  N  	  0.056  	  0.333
19  	  N  	  0.053  	  0.333
20  	  N  	  0.050  	  0.333
21  	  R  	  0.095  	  0.667
22  	  N  	  0.091  	  0.667
23  	  N  	  0.087  	  0.667
24  	  N  	  0.083  	  0.667
25  	  N  	  0.080  	  0.667
26  	  N  	  0.077  	  0.667
27  	  N  	  0.074  	  0.667
28  	  N  	  0.071  	  0.667
29  	  N  	  0.069  	  0.667
30  	  N  	  0.067  	  0.667
31  	  N  	  0.065  	  0.667
32  	  N  	  0.062  	  0.667
33  	  N  	  0.061  	  0.667
34  	  N  	  0.059  	  0.667
35  	  N  	  0.057  	  0.667
36  	  N  	  0.056  	  0.667
37  	  N  	  0.054  	  0.667
38  	  N  	  0.053  	  0.667
39  	  N  	  0.051  	  0.667
40  	  N  	  0.050  	  0.667
41  	  R  	  0.073  	  1.000
42  	  N  	  0.071  	  1.000
43  	  N  	  0.070  	  1.000
44  	  N  	  0.068  	  1.000
45  	  N  	  0.067  	  1.000
46  	  N  	  0.065  	  1.000
47  	  N  	  0.064  	  1.000
48  	  N  	  0.062  	  1.000
49  	  N  	  0.061  	  1.000
50  	  N  	  0.060  	  1.000
51  	  N  	  0.059  	  1.000
52  	  N  	  0.058  	  1.000
53  	  N  	  0.057  	  1.000
54  	  N  	  0.056  	  1.000
55  	  N  	  0.055  	  1.000
56  	  N  	  0.054  	  1.000
57  	  N  	  0.053  	  1.000
58  	  N  	  0.052  	  1.000
59  	  N  	  0.051  	  1.000
60  	  N  	  0.050  	  1.000
61  	  N  	  0.049  	  1.000
62  	  N  	  0.048  	  1.000
63  	  N  	  0.048  	  1.000
64  	  N  	  0.047  	  1.000
65  	  N  	  0.046  	  1.000
66  	  N  	  0.045  	  1.000
67  	  N  	  0.045  	  1.000
68  	  N  	  0.044  	  1.000
69  	  N  	  0.043  	  1.000
70  	  N  	  0.043  	  1.000
71  	  N  	  0.042  	  1.000
72  	  N  	  0.042  	  1.000
73  	  N  	  0.041  	  1.000
74  	  N  	  0.041  	  1.000
75  	  N  	  0.040  	  1.000
76  	  N  	  0.039  	  1.000
77  	  N  	  0.039  	  1.000
78  	  N  	  0.038  	  1.000
79  	  N  	  0.038  	  1.000
80  	  N  	  0.037  	  1.000
81  	  N  	  0.037  	  1.000
82  	  N  	  0.037  	  1.000
83  	  N  	  0.036  	  1.000
84  	  N  	  0.036  	  1.000
85  	  N  	  0.035  	  1.000
86  	  N  	  0.035  	  1.000
87  	  N  	  0.034  	  1.000
88  	  N  	  0.034  	  1.000
89  	  N  	  0.034  	  1.000
90  	  N  	  0.033  	  1.000
91  	  N  	  0.033  	  1.000
92  	  N  	  0.033  	  1.000
93  	  N  	  0.032  	  1.000
94  	  N  	  0.032  	  1.000
95  	  N  	  0.032  	  1.000
96  	  N  	  0.031  	  1.000
97  	  N  	  0.031  	  1.000
98  	  N  	  0.031  	  1.000
99  	  N  	  0.030  	  1.000
100  	  N  	  0.030  	  1.000
