Query 61: information retrieval articles by gerard salton or others about clustering bibliographic coupling use of citations or co citations the vector space model boolean search methods using inverted files feedback etc salton g

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  R  	  0.333  	  0.032
04  	  R  	  0.500  	  0.065
05  	  R  	  0.600  	  0.097
06  	  N  	  0.500  	  0.097
07  	  R  	  0.571  	  0.129
08  	  N  	  0.500  	  0.129
09  	  N  	  0.444  	  0.129
10  	  R  	  0.500  	  0.161
11  	  N  	  0.455  	  0.161
12  	  R  	  0.500  	  0.194
13  	  R  	  0.538  	  0.226
14  	  N  	  0.500  	  0.226
15  	  N  	  0.467  	  0.226
16  	  N  	  0.438  	  0.226
17  	  N  	  0.412  	  0.226
18  	  R  	  0.444  	  0.258
19  	  N  	  0.421  	  0.258
20  	  N  	  0.400  	  0.258
21  	  R  	  0.429  	  0.290
22  	  R  	  0.455  	  0.323
23  	  N  	  0.435  	  0.323
24  	  N  	  0.417  	  0.323
25  	  N  	  0.400  	  0.323
26  	  N  	  0.385  	  0.323
27  	  R  	  0.407  	  0.355
28  	  R  	  0.429  	  0.387
29  	  N  	  0.414  	  0.387
30  	  R  	  0.433  	  0.419
31  	  N  	  0.419  	  0.419
32  	  R  	  0.438  	  0.452
33  	  N  	  0.424  	  0.452
34  	  N  	  0.412  	  0.452
35  	  N  	  0.400  	  0.452
36  	  R  	  0.417  	  0.484
37  	  N  	  0.405  	  0.484
38  	  N  	  0.395  	  0.484
39  	  N  	  0.385  	  0.484
40  	  R  	  0.400  	  0.516
41  	  N  	  0.390  	  0.516
42  	  N  	  0.381  	  0.516
43  	  N  	  0.372  	  0.516
44  	  N  	  0.364  	  0.516
45  	  N  	  0.356  	  0.516
46  	  N  	  0.348  	  0.516
47  	  N  	  0.340  	  0.516
48  	  N  	  0.333  	  0.516
49  	  N  	  0.327  	  0.516
50  	  N  	  0.320  	  0.516
51  	  N  	  0.314  	  0.516
52  	  N  	  0.308  	  0.516
53  	  N  	  0.302  	  0.516
54  	  N  	  0.296  	  0.516
55  	  N  	  0.291  	  0.516
56  	  N  	  0.286  	  0.516
57  	  N  	  0.281  	  0.516
58  	  N  	  0.276  	  0.516
59  	  N  	  0.271  	  0.516
60  	  N  	  0.267  	  0.516
61  	  R  	  0.279  	  0.548
62  	  N  	  0.274  	  0.548
63  	  N  	  0.270  	  0.548
64  	  N  	  0.266  	  0.548
65  	  N  	  0.262  	  0.548
66  	  N  	  0.258  	  0.548
67  	  N  	  0.254  	  0.548
68  	  N  	  0.250  	  0.548
69  	  N  	  0.246  	  0.548
70  	  N  	  0.243  	  0.548
71  	  N  	  0.239  	  0.548
72  	  N  	  0.236  	  0.548
73  	  N  	  0.233  	  0.548
74  	  N  	  0.230  	  0.548
75  	  N  	  0.227  	  0.548
76  	  N  	  0.224  	  0.548
77  	  N  	  0.221  	  0.548
78  	  N  	  0.218  	  0.548
79  	  N  	  0.215  	  0.548
80  	  R  	  0.225  	  0.581
81  	  N  	  0.222  	  0.581
82  	  N  	  0.220  	  0.581
83  	  N  	  0.217  	  0.581
84  	  N  	  0.214  	  0.581
85  	  N  	  0.212  	  0.581
86  	  N  	  0.209  	  0.581
87  	  N  	  0.207  	  0.581
88  	  N  	  0.205  	  0.581
89  	  N  	  0.202  	  0.581
90  	  N  	  0.200  	  0.581
91  	  N  	  0.198  	  0.581
92  	  N  	  0.196  	  0.581
93  	  R  	  0.204  	  0.613
94  	  N  	  0.202  	  0.613
95  	  N  	  0.200  	  0.613
96  	  R  	  0.208  	  0.645
97  	  N  	  0.206  	  0.645
98  	  N  	  0.204  	  0.645
99  	  N  	  0.202  	  0.645
100  	  N  	  0.200  	  0.645
