Query 63: algorithms for parallel computation and especially comparisons between parallel and sequential algorithms

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  R  	  0.167  	  0.083
07  	  N  	  0.143  	  0.083
08  	  R  	  0.250  	  0.167
09  	  R  	  0.333  	  0.250
10  	  N  	  0.300  	  0.250
11  	  R  	  0.364  	  0.333
12  	  N  	  0.333  	  0.333
13  	  N  	  0.308  	  0.333
14  	  N  	  0.286  	  0.333
15  	  N  	  0.267  	  0.333
16  	  N  	  0.250  	  0.333
17  	  N  	  0.235  	  0.333
18  	  N  	  0.222  	  0.333
19  	  N  	  0.211  	  0.333
20  	  N  	  0.200  	  0.333
21  	  N  	  0.190  	  0.333
22  	  R  	  0.227  	  0.417
23  	  N  	  0.217  	  0.417
24  	  N  	  0.208  	  0.417
25  	  N  	  0.200  	  0.417
26  	  N  	  0.192  	  0.417
27  	  N  	  0.185  	  0.417
28  	  N  	  0.179  	  0.417
29  	  N  	  0.172  	  0.417
30  	  N  	  0.167  	  0.417
31  	  N  	  0.161  	  0.417
32  	  N  	  0.156  	  0.417
33  	  N  	  0.152  	  0.417
34  	  N  	  0.147  	  0.417
35  	  N  	  0.143  	  0.417
36  	  N  	  0.139  	  0.417
37  	  N  	  0.135  	  0.417
38  	  N  	  0.132  	  0.417
39  	  N  	  0.128  	  0.417
40  	  R  	  0.150  	  0.500
41  	  N  	  0.146  	  0.500
42  	  N  	  0.143  	  0.500
43  	  N  	  0.140  	  0.500
44  	  N  	  0.136  	  0.500
45  	  N  	  0.133  	  0.500
46  	  N  	  0.130  	  0.500
47  	  N  	  0.128  	  0.500
48  	  N  	  0.125  	  0.500
49  	  N  	  0.122  	  0.500
50  	  N  	  0.120  	  0.500
51  	  N  	  0.118  	  0.500
52  	  N  	  0.115  	  0.500
53  	  N  	  0.113  	  0.500
54  	  N  	  0.111  	  0.500
55  	  N  	  0.109  	  0.500
56  	  N  	  0.107  	  0.500
57  	  N  	  0.105  	  0.500
58  	  R  	  0.121  	  0.583
59  	  N  	  0.119  	  0.583
60  	  N  	  0.117  	  0.583
61  	  N  	  0.115  	  0.583
62  	  N  	  0.113  	  0.583
63  	  N  	  0.111  	  0.583
64  	  N  	  0.109  	  0.583
65  	  N  	  0.108  	  0.583
66  	  R  	  0.121  	  0.667
67  	  N  	  0.119  	  0.667
68  	  N  	  0.118  	  0.667
69  	  N  	  0.116  	  0.667
70  	  N  	  0.114  	  0.667
71  	  N  	  0.113  	  0.667
72  	  N  	  0.111  	  0.667
73  	  N  	  0.110  	  0.667
74  	  R  	  0.122  	  0.750
75  	  N  	  0.120  	  0.750
76  	  N  	  0.118  	  0.750
77  	  N  	  0.117  	  0.750
78  	  N  	  0.115  	  0.750
79  	  N  	  0.114  	  0.750
80  	  N  	  0.113  	  0.750
81  	  N  	  0.111  	  0.750
82  	  N  	  0.110  	  0.750
83  	  N  	  0.108  	  0.750
84  	  N  	  0.107  	  0.750
85  	  N  	  0.106  	  0.750
86  	  N  	  0.105  	  0.750
87  	  N  	  0.103  	  0.750
88  	  N  	  0.102  	  0.750
89  	  N  	  0.101  	  0.750
90  	  N  	  0.100  	  0.750
91  	  N  	  0.099  	  0.750
92  	  N  	  0.098  	  0.750
93  	  N  	  0.097  	  0.750
94  	  N  	  0.096  	  0.750
95  	  N  	  0.095  	  0.750
96  	  N  	  0.094  	  0.750
97  	  N  	  0.093  	  0.750
98  	  N  	  0.092  	  0.750
99  	  N  	  0.091  	  0.750
100  	  N  	  0.090  	  0.750
