Query 7: i am interested in distributed algorithms concurrent programs in which processes communicate and synchronize by using message passing areas of particular interest include fault tolerance and techniques for understanding the correctness of these algorithms

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.036
02  	  N  	  0.500  	  0.036
03  	  N  	  0.333  	  0.036
04  	  N  	  0.250  	  0.036
05  	  R  	  0.400  	  0.071
06  	  R  	  0.500  	  0.107
07  	  N  	  0.429  	  0.107
08  	  N  	  0.375  	  0.107
09  	  R  	  0.444  	  0.143
10  	  R  	  0.500  	  0.179
11  	  R  	  0.545  	  0.214
12  	  N  	  0.500  	  0.214
13  	  N  	  0.462  	  0.214
14  	  N  	  0.429  	  0.214
15  	  N  	  0.400  	  0.214
16  	  N  	  0.375  	  0.214
17  	  N  	  0.353  	  0.214
18  	  R  	  0.389  	  0.250
19  	  N  	  0.368  	  0.250
20  	  R  	  0.400  	  0.286
21  	  N  	  0.381  	  0.286
22  	  N  	  0.364  	  0.286
23  	  N  	  0.348  	  0.286
24  	  R  	  0.375  	  0.321
25  	  N  	  0.360  	  0.321
26  	  N  	  0.346  	  0.321
27  	  N  	  0.333  	  0.321
28  	  N  	  0.321  	  0.321
29  	  N  	  0.310  	  0.321
30  	  N  	  0.300  	  0.321
31  	  N  	  0.290  	  0.321
32  	  R  	  0.312  	  0.357
33  	  N  	  0.303  	  0.357
34  	  N  	  0.294  	  0.357
35  	  N  	  0.286  	  0.357
36  	  N  	  0.278  	  0.357
37  	  N  	  0.270  	  0.357
38  	  N  	  0.263  	  0.357
39  	  N  	  0.256  	  0.357
40  	  N  	  0.250  	  0.357
41  	  N  	  0.244  	  0.357
42  	  N  	  0.238  	  0.357
43  	  N  	  0.233  	  0.357
44  	  N  	  0.227  	  0.357
45  	  N  	  0.222  	  0.357
46  	  N  	  0.217  	  0.357
47  	  N  	  0.213  	  0.357
48  	  N  	  0.208  	  0.357
49  	  N  	  0.204  	  0.357
50  	  N  	  0.200  	  0.357
51  	  N  	  0.196  	  0.357
52  	  N  	  0.192  	  0.357
53  	  N  	  0.189  	  0.357
54  	  N  	  0.185  	  0.357
55  	  R  	  0.200  	  0.393
56  	  N  	  0.196  	  0.393
57  	  R  	  0.211  	  0.429
58  	  N  	  0.207  	  0.429
59  	  N  	  0.203  	  0.429
60  	  N  	  0.200  	  0.429
61  	  R  	  0.213  	  0.464
62  	  N  	  0.210  	  0.464
63  	  N  	  0.206  	  0.464
64  	  N  	  0.203  	  0.464
65  	  N  	  0.200  	  0.464
66  	  N  	  0.197  	  0.464
67  	  N  	  0.194  	  0.464
68  	  N  	  0.191  	  0.464
69  	  N  	  0.188  	  0.464
70  	  N  	  0.186  	  0.464
71  	  N  	  0.183  	  0.464
72  	  N  	  0.181  	  0.464
73  	  N  	  0.178  	  0.464
74  	  N  	  0.176  	  0.464
75  	  N  	  0.173  	  0.464
76  	  N  	  0.171  	  0.464
77  	  N  	  0.169  	  0.464
78  	  N  	  0.167  	  0.464
79  	  N  	  0.165  	  0.464
80  	  N  	  0.163  	  0.464
81  	  R  	  0.173  	  0.500
82  	  N  	  0.171  	  0.500
83  	  N  	  0.169  	  0.500
84  	  N  	  0.167  	  0.500
85  	  N  	  0.165  	  0.500
86  	  N  	  0.163  	  0.500
87  	  N  	  0.161  	  0.500
88  	  N  	  0.159  	  0.500
89  	  N  	  0.157  	  0.500
90  	  N  	  0.156  	  0.500
91  	  N  	  0.154  	  0.500
92  	  N  	  0.152  	  0.500
93  	  N  	  0.151  	  0.500
94  	  N  	  0.149  	  0.500
95  	  R  	  0.158  	  0.536
96  	  N  	  0.156  	  0.536
97  	  N  	  0.155  	  0.536
98  	  N  	  0.153  	  0.536
99  	  N  	  0.152  	  0.536
100  	  N  	  0.150  	  0.536
