Query 9: security considerations in local networks network operating systems and distributed systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.111
02  	  N  	  0.500  	  0.111
03  	  N  	  0.333  	  0.111
04  	  N  	  0.250  	  0.111
05  	  N  	  0.200  	  0.111
06  	  N  	  0.167  	  0.111
07  	  R  	  0.286  	  0.222
08  	  N  	  0.250  	  0.222
09  	  N  	  0.222  	  0.222
10  	  N  	  0.200  	  0.222
11  	  R  	  0.273  	  0.333
12  	  N  	  0.250  	  0.333
13  	  N  	  0.231  	  0.333
14  	  N  	  0.214  	  0.333
15  	  N  	  0.200  	  0.333
16  	  N  	  0.188  	  0.333
17  	  N  	  0.176  	  0.333
18  	  N  	  0.167  	  0.333
19  	  N  	  0.158  	  0.333
20  	  N  	  0.150  	  0.333
21  	  N  	  0.143  	  0.333
22  	  R  	  0.182  	  0.444
23  	  N  	  0.174  	  0.444
24  	  N  	  0.167  	  0.444
25  	  N  	  0.160  	  0.444
26  	  N  	  0.154  	  0.444
27  	  N  	  0.148  	  0.444
28  	  N  	  0.143  	  0.444
29  	  N  	  0.138  	  0.444
30  	  N  	  0.133  	  0.444
31  	  N  	  0.129  	  0.444
32  	  N  	  0.125  	  0.444
33  	  N  	  0.121  	  0.444
34  	  N  	  0.118  	  0.444
35  	  N  	  0.114  	  0.444
36  	  N  	  0.111  	  0.444
37  	  N  	  0.108  	  0.444
38  	  N  	  0.105  	  0.444
39  	  N  	  0.103  	  0.444
40  	  N  	  0.100  	  0.444
41  	  N  	  0.098  	  0.444
42  	  N  	  0.095  	  0.444
43  	  N  	  0.093  	  0.444
44  	  N  	  0.091  	  0.444
45  	  N  	  0.089  	  0.444
46  	  N  	  0.087  	  0.444
47  	  N  	  0.085  	  0.444
48  	  N  	  0.083  	  0.444
49  	  N  	  0.082  	  0.444
50  	  N  	  0.080  	  0.444
51  	  N  	  0.078  	  0.444
52  	  N  	  0.077  	  0.444
53  	  R  	  0.094  	  0.556
54  	  N  	  0.093  	  0.556
55  	  N  	  0.091  	  0.556
56  	  N  	  0.089  	  0.556
57  	  N  	  0.088  	  0.556
58  	  N  	  0.086  	  0.556
59  	  N  	  0.085  	  0.556
60  	  N  	  0.083  	  0.556
61  	  N  	  0.082  	  0.556
62  	  N  	  0.081  	  0.556
63  	  N  	  0.079  	  0.556
64  	  N  	  0.078  	  0.556
65  	  N  	  0.077  	  0.556
66  	  N  	  0.076  	  0.556
67  	  N  	  0.075  	  0.556
68  	  N  	  0.074  	  0.556
69  	  N  	  0.072  	  0.556
70  	  N  	  0.071  	  0.556
71  	  N  	  0.070  	  0.556
72  	  N  	  0.069  	  0.556
73  	  N  	  0.068  	  0.556
74  	  N  	  0.068  	  0.556
75  	  N  	  0.067  	  0.556
76  	  N  	  0.066  	  0.556
77  	  N  	  0.065  	  0.556
78  	  N  	  0.064  	  0.556
79  	  N  	  0.063  	  0.556
80  	  N  	  0.062  	  0.556
81  	  N  	  0.062  	  0.556
82  	  N  	  0.061  	  0.556
83  	  N  	  0.060  	  0.556
84  	  N  	  0.060  	  0.556
85  	  N  	  0.059  	  0.556
86  	  N  	  0.058  	  0.556
87  	  N  	  0.057  	  0.556
88  	  N  	  0.057  	  0.556
89  	  N  	  0.056  	  0.556
90  	  N  	  0.056  	  0.556
91  	  N  	  0.055  	  0.556
92  	  N  	  0.054  	  0.556
93  	  R  	  0.065  	  0.667
94  	  N  	  0.064  	  0.667
95  	  R  	  0.074  	  0.778
96  	  N  	  0.073  	  0.778
97  	  N  	  0.072  	  0.778
98  	  N  	  0.071  	  0.778
99  	  N  	  0.071  	  0.778
100  	  N  	  0.070  	  0.778
